Name,"Sub Category","Plan","AUM","Expense Ratio","AMC","Benchmark","Minimum Lumpsum","NAV","Lock-in","Exit Load","Time since inception","Fund Manager","SIP Investment","Minimum SIP"
Parag Parikh Flexi Cap Fund,"Flexi Cap Fund","Growth","140949.9715","0.53","PPFAS Asset Management Pvt. Ltd.","NIFTY 500 - TRI","1000","91.5245","0","2","157","Rajeev Thakkar,Rukun Tarachandani,Raj Mehta,Mansi Kariya","Allowed","3000"
HDFC Flexi Cap Fund,"Flexi Cap Fund","Growth","91334.9081","0.68","HDFC Asset Management Company Limited","NIFTY 500 - TRI","100","2163.717","0","1","161","Amit Ganatra","Allowed","100"
Kotak Flexicap Fund,"Flexi Cap Fund","Growth","54838.6325","0.61","Kotak Mahindra Asset Management Company Limited","NIFTY 500 - TRI","100","96.249","0","1","161","Harsha Upadhyaya","Allowed","100"
Aditya Birla SL Flexi Cap Fund,"Flexi Cap Fund","Growth","25631.5095","0.85","Aditya Birla Sun Life AMC Limited","NIFTY 500 - TRI","100","2101.35","0","1","161","Harish krishnan,Dhaval Joshi","Allowed","0"
SBI Flexicap Fund,"Flexi Cap Fund","Growth","22402.6797","0.86","SBI Funds Management Limited","BSE 500 - TRI","1000","120.2484","0","0.1","161","Anup Upadhyay","Allowed","5000"
UTI Flexi Cap Fund,"Flexi Cap Fund","Growth","22167.580299999998","1.01","UTI Asset Management Company Private Limited","NIFTY 500 - TRI","5000","325.3566","0","1","161","Ajay Tyagi,Akash Shah,Kamal Gada","Allowed","1500"
ICICI Pru Flexicap Fund,"Flexi Cap Fund","Growth","20936.0667981872","0.8","ICICI Prudential Asset Management Company Limited","BSE 500 - TRI","5000","20.43","0","1","59","Rajat Chandak","Allowed","100"
Franklin India Flexi Cap Fund,"Flexi Cap Fund","Growth","19049.253716609","0.91","Franklin Templeton Asset Management (India) Private Limited","NIFTY 500 - TRI","5000","1771.3205","0","1","161","R. Janakiraman,Rajasa Kakulavarapu,Sandeep Manam","Allowed","500"
Canara Rob Flexi Cap Fund,"Flexi Cap Fund","Growth","13082.7301","0.57","Canara Robeco Asset Management Company Limited","BSE 500 - TRI","5000","379.9","0","1","161","Shridatta Bhandwaldar,Pranav Gokhale","Allowed","1000"
Motilal Oswal Flexi Cap Fund,"Flexi Cap Fund","Growth","11679.275800000001","0.82","Motilal Oswal Asset Management Company Limited","NIFTY 500 - TRI","500","64.3442","0","1","146","Ajay Khandelwal,Atul Mehra,Ankit Agarwal,Varun Sharma","Allowed","6000"
Axis Flexi Cap Fund,"Flexi Cap Fund","Growth","11412.803399","0.7","Axis Asset Management Company Ltd.","NIFTY 500 - TRI","100","29.44","0","1","103","Sachin Relekar,Krishnaa N","Allowed","100"
DSP Flexi Cap Fund,"Flexi Cap Fund","Growth","10725.6079","0.7","DSP Investment Managers Private Limited","NIFTY 500 - TRI","100","112.811","0","1","161","Bhavin Gandhi","Allowed","100"
Nippon India Flexi Cap Fund,"Flexi Cap Fund","Growth","8280.1823","0.46","Nippon Life India Asset Management Limited","NIFTY 500 - TRI","500","17.5833","0","1","58","Meenakshi Dawar,Dhrumil Shah","Allowed","100"
WOC Flexi Cap Fund,"Flexi Cap Fund","Growth","7906.7493000000095","0.62","WhiteOak Capital Asset Management Limited","BSE 500 - TRI","500","18.258","0","0","46","Ramesh Mantri,Piyush Baranwal,Trupti Agrawal,Dheeresh Pathak","Allowed","100"
Bajaj Finserv Flexi Cap Fund,"Flexi Cap Fund","Growth","6952.818504999999","0.55","Bajaj Finserv Asset Management Limited","BSE 500 - TRI","500","15.531","0","1","34","Nimesh Chandan,Sorbh Gupta,Siddharth Chaudhary","Allowed","600"
Helios Flexi Cap Fund,"Flexi Cap Fund","Growth","6762.7252","0.52","Helios Capital Asset Management (India) Private Limited","NIFTY 500 - TRI","5000","15.49","0","1","31","Alok Bahl,Pratik Singh","Allowed","0"
Bandhan Flexi Cap Fund,"Flexi Cap Fund","Growth","6651.136600000001","1.15","Bandhan AMC Limited","BSE 500 - TRI","1000","228.103","0","1","161","Manish Gunwani,Viraj Kulkarni","Allowed","100"
Quant Flexi Cap Fund,"Flexi Cap Fund","Growth","6593.522099999999","0.82","Quant Money Managers Limited","NIFTY 500 - TRI","5000","117.0988","0","1","161","Sandeep Tandon,Ankit Pande,Varun Pattani,Ayusha Kumbhat","Allowed","0"
PGIM India Flexi Cap Fund,"Flexi Cap Fund","Growth","5792.967","0.49","PGIM India Asset Management Private Limited","NIFTY 500 - TRI","5000","42.23","0","0.5","135","Anandha Padmanabhan Anjeneyan,Sharma Vivek,Vinay Paharia,Puneet Pal","Allowed","1000"
HSBC Flexi Cap Fund,"Flexi Cap Fund","Growth","5405.1151","1.22","HSBC Global Asset Management (India) Private Limited","NIFTY 500 - TRI","5000","252.237","0","1","161","Abhishek Gupta","Allowed","0"
JM Flexicap Fund,"Flexi Cap Fund","Growth","5040.5071378190005","0.68","JM Financial Asset Management Private Limited","BSE 500 - TRI","1000","109.9584","0","1","161","Satish Ramanathan,Asit Bhandarkar,Deepak Gupta.,Ruchi Fozdar","Allowed","250"
Invesco India Flexi Cap Fund,"Flexi Cap Fund","Growth","4202.4256","0.53","Invesco Asset Management Company Pvt Ltd.","BSE 500 - TRI","100","19.62","0","1","52","Taher Badshah","Allowed","20"
Abakkus Flexi Cap Fund,"Flexi Cap Fund","Growth","3901.185","0.49","Abakkus Investment Managers Pvt. Ltd.","BSE 500 - TRI","500","10.478","0","1","6","Sanjay Doshi,Abhishek Srinivas","Allowed","500"
Tata Flexi Cap Fund,"Flexi Cap Fund","Growth","3633.286898017","0.59","Tata Asset Management Private Limited","NIFTY 500 - TRI","5000","26.6153","0","0.5","93","Anand Sharma,Aditya Bagul","Allowed","100"
Mirae Asset Flexi Cap Fund,"Flexi Cap Fund","Growth","3448.3390999999997","0.51","Mirae Asset Investment Managers (India) Private Limited","NIFTY 500 - TRI","5000","16.734","0","1","40","Varun Goel","Allowed","99"
JioBlackRock Flexi Cap Fund,"Flexi Cap Fund","Growth","3030.8168437229997","0.5","Jio BlackRock Asset Management Pvt. Ltd.","NIFTY 500 - TRI","500","9.8716","0","0","8","Tanvi Kacheria,Sahil Chaudhary","Allowed","0"
Edelweiss Flexi Cap Fund,"Flexi Cap Fund","Growth","2957.3694","0.52","Edelweiss Asset Management Limited","NIFTY 500 - TRI","100","45.239","0","1","136","Trideep Bhattacharya,Ashwani Agarwalla,Raj Koradia","Allowed","100"
NJ Flexi Cap Fund,"Flexi Cap Fund","Growth","2536.008467","0.61","NJ Asset Management Private Limited","NIFTY 500 - TRI","500","13.4","0","0","33","Dhaval Patel,Viral Shah","Allowed","0"
Bank of India Flexi Cap Fund,"Flexi Cap Fund","Growth","2387.5609","0.52","Bank of India Investment Managers Private Limited","BSE 500 - TRI","5000","40.59","0","1","72","Alok Singh","Allowed","1000"
Union Flexi Cap Fund,"Flexi Cap Fund","Growth","2294.0675","1","Union Asset Management Company Pvt. Ltd.","BSE 500 - TRI","1000","56.84","0","1","161","Sanjay Bembalkar,Vinod Malviya","Allowed","500"
Sundaram Flexi Cap Fund,"Flexi Cap Fund","Growth","2003.889645","0.75","Sundaram Asset Management Company Limited","NIFTY 500 - TRI","100","15.2942","0","1","45","S. Bharath,Dwijendra Srivastava,Shalav Saket","Allowed","100"
360 ONE Flexicap Fund,"Flexi Cap Fund","Growth","1787.1290564024","0.48","360 ONE Asset Management Limited","BSE 500 - TRI","1000","15.7534","0","1","36","Mayur Patel,Ashish Ongari","Allowed","0"
Mahindra Manulife Flexi Cap Fund,"Flexi Cap Fund","Growth","1541.9705999999999","0.52","Mahindra Manulife Investment Management Private Limited","NIFTY 500 - TRI","1000","17.109","0","1","58","Fatema Pacha,Neelesh Dhamnaskar","Allowed","0"
Baroda BNP Paribas Flexi Cap Fund,"Flexi Cap Fund","Growth","1199.7988","1.02","Baroda BNP Paribas Asset Management India Pvt. Ltd.","NIFTY 500 - TRI","5000","16.5056","0","1","46","Sanjay Chawla,Kirtan Mehta","Allowed","500"
ITI Flexi Cap Fund,"Flexi Cap Fund","Growth","1133.9856","0.36","ITI Asset Management Limited","NIFTY 500 - TRI","5000","19.3606","0","0.5","40","Dhimant Shah","Allowed","500"
