Name,"Sub Category","Plan","AUM","% Debt Holding","% Equity Holding","% Largecap Holding","% Midcap Holding","% Smallcap Holding","% Concentration - Top 3 Holdings","% Concentration - Top 5 Holdings","% Concentration - Top 10 Holdings","% B Rated Bonds","% Other Holdings"
Parag Parikh Flexi Cap Fund,"Flexi Cap Fund","Growth","140949.9715","10.380229839209303","80.81952212384806","62.85724243654777","2.8453173543209935","3.3045000651170775","20.87629538825412","31.225827668932872","52.36173368080462","0","0"
HDFC Flexi Cap Fund,"Flexi Cap Fund","Growth","91334.9081","0.5068415591413941","92.85713291905499","75.68350990999033","10.241800437827397","6.931822571237278","22.32910684264515","31.537082089207257","48.02569905819784","0","0"
Kotak Flexicap Fund,"Flexi Cap Fund","Growth","54838.6325","0","97.3037635361032","71.34332189632823","21.715376516803147","4.245065122971865","17.0850636497595","25.950864243869944","42.59570509540655","0","0"
Aditya Birla SL Flexi Cap Fund,"Flexi Cap Fund","Growth","25631.5095","0","98.61434848384563","55.34110310592513","28.184746981054694","15.08849839686577","12.9073572510429","18.93364142287445","30.189155656244125","0","0"
SBI Flexicap Fund,"Flexi Cap Fund","Growth","22402.6797","1.2414130975590392","96.52953481274832","66.54865533787013","13.533660886112658","13.11332411720371","14.95836723496965","23.3274589021598","37.21670805301026","0","0"
UTI Flexi Cap Fund,"Flexi Cap Fund","Growth","22167.580299999998","0.227669413246695","96.82970540542034","59.060407238042146","24.466789909406558","13.302508257971668","18.2192063605607","27.65904946332821","44.634603624284594","0","0"
ICICI Pru Flexicap Fund,"Flexi Cap Fund","Growth","20936.0667981872","0.2860463674045536","96.20492894078329","62.27648674673963","9.092615289097655","24.835826904945943","22.921845910247658","32.14999420038744","47.510363242146106","0","0"
Franklin India Flexi Cap Fund,"Flexi Cap Fund","Growth","19049.253716609","0.261227031464297","94.54856874102336","74.16018326157703","11.955242004647955","8.433143474798385","18.7652343261263","27.85161540676594","44.34532596593898","0","0"
Canara Rob Flexi Cap Fund,"Flexi Cap Fund","Growth","13082.7301","0","94.44474972391274","71.24497049740403","19.17518347336388","4.024595753144827","18.28490752094625","26.038857898627736","40.88946924006327","0","0"
Motilal Oswal Flexi Cap Fund,"Flexi Cap Fund","Growth","11679.275800000001","0","93.75638599098755","55.48507297002097","32.41543966279142","5.8558733581751765","20.21602829175419","31.48026866528831","54.14917079019575","0","0"
