Name,"Sub Category","Plan","AUM","% Poorly Rated Bonds","% Sovereign Debt Holding","% Corporate Debt Holding","% Cash Holding","% A Rated Bonds"
Parag Parikh Flexi Cap Fund,"Flexi Cap Fund","Growth","140949.9715","0","0","0","4.2527553118377135","9.920988171324321"
HDFC Flexi Cap Fund,"Flexi Cap Fund","Growth","91334.9081","0","0.5068415591413941","0","4.386428284640097","0"
Kotak Flexicap Fund,"Flexi Cap Fund","Growth","54838.6325","0","0","0","2.560523685076358","0"
Aditya Birla SL Flexi Cap Fund,"Flexi Cap Fund","Growth","25631.5095","0","0","0","1.3856515161543652","0"
SBI Flexicap Fund,"Flexi Cap Fund","Growth","22402.6797","0","0","0","2.2290520896926487","0"
UTI Flexi Cap Fund,"Flexi Cap Fund","Growth","22167.580299999998","0","0.227669413246695","0","2.92417481397372","0"
ICICI Pru Flexicap Fund,"Flexi Cap Fund","Growth","20936.0667981872","0","0","0","3.386591587100974","0"
Franklin India Flexi Cap Fund,"Flexi Cap Fund","Growth","19049.253716609","0","0","0","5.1902042275124","0"
Canara Rob Flexi Cap Fund,"Flexi Cap Fund","Growth","13082.7301","0","0","0","5.533439079355463","0.0218111967317892"
Motilal Oswal Flexi Cap Fund,"Flexi Cap Fund","Growth","11679.275800000001","0","0","0","6.24361400901245","0"
Axis Flexi Cap Fund,"Flexi Cap Fund","Growth","11412.803399","0","0","0","10.17786672816953","0"
DSP Flexi Cap Fund,"Flexi Cap Fund","Growth","10725.6079","0","0","0","4.90515693753824","0"
Nippon India Flexi Cap Fund,"Flexi Cap Fund","Growth","8280.1823","0","0","0","2.2791274837749333","0"
WOC Flexi Cap Fund,"Flexi Cap Fund","Growth","7906.7493000000095","0","0","0","4.69241445162372","0"
Bajaj Finserv Flexi Cap Fund,"Flexi Cap Fund","Growth","6952.818504999999","0","0","0","1.746749726526104","0"
Helios Flexi Cap Fund,"Flexi Cap Fund","Growth","6762.7252","0","0","0","0.711894962107879","0"
Bandhan Flexi Cap Fund,"Flexi Cap Fund","Growth","6651.136600000001","0","0","0","4.161613502859498","0"
Quant Flexi Cap Fund,"Flexi Cap Fund","Growth","6593.522099999999","0","0","0","-1.9966566882365004","0"
PGIM India Flexi Cap Fund,"Flexi Cap Fund","Growth","5792.967","0","0","0","1.714302877955291","0"
HSBC Flexi Cap Fund,"Flexi Cap Fund","Growth","5405.1151","0","0","0","0.6082423665686856","0"
JM Flexicap Fund,"Flexi Cap Fund","Growth","5040.5071378190005","0","0","0","0.634252001294319","0"
Invesco India Flexi Cap Fund,"Flexi Cap Fund","Growth","4202.4256","0","0","0","0.8131994056004209","0"
Abakkus Flexi Cap Fund,"Flexi Cap Fund","Growth","3901.185","0","0","0","6.593758050438516","1.1486843100237492"
Tata Flexi Cap Fund,"Flexi Cap Fund","Growth","3633.286898017","0","0","0","6.67783758418366","0"
Mirae Asset Flexi Cap Fund,"Flexi Cap Fund","Growth","3448.3390999999997","0","0","0","1.9812124541594442","0"
JioBlackRock Flexi Cap Fund,"Flexi Cap Fund","Growth","3030.8168437229997","0","0","0","0.35700936057575033","0"
Edelweiss Flexi Cap Fund,"Flexi Cap Fund","Growth","2957.3694","0","0","0","3.9142117315476335","0"
NJ Flexi Cap Fund,"Flexi Cap Fund","Growth","2536.008467","0","0","0","2.696962328399041","0"
Bank of India Flexi Cap Fund,"Flexi Cap Fund","Growth","2387.5609","0","0","0","2.9481761072565695","0.20417489664871"
Union Flexi Cap Fund,"Flexi Cap Fund","Growth","2294.0675","0","0","0","3.9370245208565104","0"
Sundaram Flexi Cap Fund,"Flexi Cap Fund","Growth","2003.889645","0","0","0","6.142218073171662","0"
360 ONE Flexicap Fund,"Flexi Cap Fund","Growth","1787.1290564024","0","0","0","3.07252861810328","0"
Mahindra Manulife Flexi Cap Fund,"Flexi Cap Fund","Growth","1541.9705999999999","0","0","0","1.7190924392462523","0"
Baroda BNP Paribas Flexi Cap Fund,"Flexi Cap Fund","Growth","1199.7988","0","0","0","7.518210553302775","0"
ITI Flexi Cap Fund,"Flexi Cap Fund","Growth","1133.9856","0","0","0","6.30568853784387","0"
TRUSTMF Flexi Cap Fund,"Flexi Cap Fund","Growth","1081.3157","0","0","0","7.34229605655407","0"
LIC MF Flexi Cap Fund,"Flexi Cap Fund","Growth","973.2846000000001","0","0","0","8.014562235958525","0"
Capitalmind Flexi Cap Fund,"Flexi Cap Fund","Growth","424.7792","0","0","0.706108020355046","1.238878928158441","5.61503482279735"
Taurus Flexi Cap Fund,"Flexi Cap Fund","Growth","305.8645","0","0","0","8.1523051877565","0"
Samco Flexi Cap Fund,"Flexi Cap Fund","Growth","286.4435","0","0","0","1.33023493266613","0"
Navi Flexi Cap Fund,"Flexi Cap Fund","Growth","260.338422","0","0","2.5314725343317352","3.53686758958329","3.5977220139649053"
The Wealth Company Flexi Cap Fund,"Flexi Cap Fund","Growth","227.71436235599998","0","0","0","8.66884756269299","0"
Unifi Flexi Cap Fund,"Flexi Cap Fund","Growth","188.007735589","0","0","0","2.2709372516426494","0"
Old Bridge Flexi Cap Fund,"Flexi Cap Fund","Growth","152.6157","0","0","0","9.098277569083656","0"
Shriram Flexi Cap Fund,"Flexi Cap Fund","Growth","128.0288","0","0","0","4.78806331075508","0.0232760128970982"
