Name,"Sub Category","Plan","AUM","% Away from ATH","Average YTM","Average Maturity","Category YTM"
Parag Parikh Flexi Cap Fund,"Flexi Cap Fund","Growth","140949.9715","4.44","0","0","0"
HDFC Flexi Cap Fund,"Flexi Cap Fund","Growth","91334.9081","6.06","0","0","0"
Kotak Flexicap Fund,"Flexi Cap Fund","Growth","54838.6325","4.85","0","0","0"
Aditya Birla SL Flexi Cap Fund,"Flexi Cap Fund","Growth","25631.5095","1.71","0","0","0"
SBI Flexicap Fund,"Flexi Cap Fund","Growth","22402.6797","6.02","0","0","0"
UTI Flexi Cap Fund,"Flexi Cap Fund","Growth","22167.580299999998","9.98","0","0","0"
ICICI Pru Flexicap Fund,"Flexi Cap Fund","Growth","20936.0667981872","3.4","0","0","0"
Franklin India Flexi Cap Fund,"Flexi Cap Fund","Growth","19049.253716609","6.52","0","0","0"
Canara Rob Flexi Cap Fund,"Flexi Cap Fund","Growth","13082.7301","4.45","0","0","0"
Motilal Oswal Flexi Cap Fund,"Flexi Cap Fund","Growth","11679.275800000001","11.24","0","0","0"
Axis Flexi Cap Fund,"Flexi Cap Fund","Growth","11412.803399","3.51","0","0","0"
DSP Flexi Cap Fund,"Flexi Cap Fund","Growth","10725.6079","5.61","0","0","0"
Nippon India Flexi Cap Fund,"Flexi Cap Fund","Growth","8280.1823","6.24","0","0","0"
WOC Flexi Cap Fund,"Flexi Cap Fund","Growth","7906.7493000000095","3.94","0","0","0"
Bajaj Finserv Flexi Cap Fund,"Flexi Cap Fund","Growth","6952.818504999999","1.25","0","0","0"
Helios Flexi Cap Fund,"Flexi Cap Fund","Growth","6762.7252","2.7","0","0","0"
Bandhan Flexi Cap Fund,"Flexi Cap Fund","Growth","6651.136600000001","4.33","0","0","0"
Quant Flexi Cap Fund,"Flexi Cap Fund","Growth","6593.522099999999","4.98","0","0","0"
PGIM India Flexi Cap Fund,"Flexi Cap Fund","Growth","5792.967","4.26","0","0","0"
HSBC Flexi Cap Fund,"Flexi Cap Fund","Growth","5405.1151","0.93","0","0","0"
JM Flexicap Fund,"Flexi Cap Fund","Growth","5040.5071378190005","10.98","0","0","0"
Invesco India Flexi Cap Fund,"Flexi Cap Fund","Growth","4202.4256","5.35","0","0","0"
Abakkus Flexi Cap Fund,"Flexi Cap Fund","Growth","3901.185","0.62","0","0","0"
Tata Flexi Cap Fund,"Flexi Cap Fund","Growth","3633.286898017","5.33","0","0","0"
Mirae Asset Flexi Cap Fund,"Flexi Cap Fund","Growth","3448.3390999999997","3.52","0","0","0"
JioBlackRock Flexi Cap Fund,"Flexi Cap Fund","Growth","3030.8168437229997","4.71","0","0","0"
Edelweiss Flexi Cap Fund,"Flexi Cap Fund","Growth","2957.3694","3.5","0","0","0"
NJ Flexi Cap Fund,"Flexi Cap Fund","Growth","2536.008467","18.39","0","0","0"
Bank of India Flexi Cap Fund,"Flexi Cap Fund","Growth","2387.5609","0.02","0","0","0"
Union Flexi Cap Fund,"Flexi Cap Fund","Growth","2294.0675","3.51","0","0","0"
Sundaram Flexi Cap Fund,"Flexi Cap Fund","Growth","2003.889645","5.76","0","0","0"
360 ONE Flexicap Fund,"Flexi Cap Fund","Growth","1787.1290564024","4.1","0","0","0"
Mahindra Manulife Flexi Cap Fund,"Flexi Cap Fund","Growth","1541.9705999999999","6.08","0","0","0"
Baroda BNP Paribas Flexi Cap Fund,"Flexi Cap Fund","Growth","1199.7988","3.93","0","0","0"
ITI Flexi Cap Fund,"Flexi Cap Fund","Growth","1133.9856","0.69","0","0","0"
TRUSTMF Flexi Cap Fund,"Flexi Cap Fund","Growth","1081.3157","5.3","0","0","0"
LIC MF Flexi Cap Fund,"Flexi Cap Fund","Growth","973.2846000000001","7.28","0","0","0"
Capitalmind Flexi Cap Fund,"Flexi Cap Fund","Growth","424.7792","2.62","0","0","0"
Taurus Flexi Cap Fund,"Flexi Cap Fund","Growth","305.8645","9.25","0","0","0"
Samco Flexi Cap Fund,"Flexi Cap Fund","Growth","286.4435","19.43","0","0","0"
Navi Flexi Cap Fund,"Flexi Cap Fund","Growth","260.338422","0.03","0","0","0"
The Wealth Company Flexi Cap Fund,"Flexi Cap Fund","Growth","227.71436235599998","2.47","0","0","0"
Unifi Flexi Cap Fund,"Flexi Cap Fund","Growth","188.007735589","2.26","0","0","0"
Old Bridge Flexi Cap Fund,"Flexi Cap Fund","Growth","152.6157","0.18","0","0","0"
Shriram Flexi Cap Fund,"Flexi Cap Fund","Growth","128.0288","14.74","0","0","0"
