Name,"Sub Category","Plan","AUM","Sharpe Ratio","Sortino Ratio","PE Ratio","Category PE Ratio","Returns vs sub-category - 10Y","Returns vs sub-category - 1Y","Returns vs sub-category - 3Y","Returns vs sub-category - 5Y"
Parag Parikh Flexi Cap Fund,"Flexi Cap Fund","Growth","140949.9715","0.08889724405177024","0.0098","15.6994","25.29854814814819","1.6653317552979425","0.7508942111927324","1.288035636068455","1.4266302819938625"
HDFC Flexi Cap Fund,"Flexi Cap Fund","Growth","91334.9081","0.13017096450437787","0.0135","21.5892","25.29854814814819","1.5893639720588508","0.7501013522703308","1.4317035513559588","1.7234664030539473"
Kotak Flexicap Fund,"Flexi Cap Fund","Growth","54838.6325","0.3444768207006097","0.0359","23.0662","25.29854814814819","1.3947835786515124","1.4141028592340301","1.168289492763948","1.2391779366656812"
Aditya Birla SL Flexi Cap Fund,"Flexi Cap Fund","Growth","25631.5095","0.5508454229636478","0.0586","27.9901","25.29854814814819","1.4292318111146487","1.9525450718281252","1.3704235615706974","1.2695414128507587"
SBI Flexicap Fund,"Flexi Cap Fund","Growth","22402.6797","0.07143528539874394","0.0074","19.9591","25.29854814814819","1.228219038891263","0.6420548631308569","0.8677346831927213","1.0113838830870447"
UTI Flexi Cap Fund,"Flexi Cap Fund","Growth","22167.580299999998","-0.29367839552816954","-0.0313","35.8318","25.29854814814819","1.1521412672060969","-0.28887860113786873","0.7220012092755238","0.6918731795157871"
ICICI Pru Flexicap Fund,"Flexi Cap Fund","Growth","20936.0667981872","0.6095811020692816","0.0659","31.0814","25.29854814814819","0","2.1220100723895867","1.371535795852572","0"
Franklin India Flexi Cap Fund,"Flexi Cap Fund","Growth","19049.253716609","-0.07461018697202146","-0.0077","24.456","25.29854814814819","1.3388004277720427","0.24878006068565425","1.2417516793777852","1.3785877702589893"
Canara Rob Flexi Cap Fund,"Flexi Cap Fund","Growth","13082.7301","0.3143152557544734","0.0335","27.5624","25.29854814814819","1.4382297023991755","1.1923505762584155","1.0908329426642516","1.1939494384524783"
Motilal Oswal Flexi Cap Fund,"Flexi Cap Fund","Growth","11679.275800000001","-0.18573174203673426","-0.0198","34.3483","25.29854814814819","1.2501296086185332","0.1317274993484569","1.5535271861926891","1.1816909889766303"
Axis Flexi Cap Fund,"Flexi Cap Fund","Growth","11412.803399","0.34130191912733215","0.0357","30.5392","25.29854814814819","0","1.2735846713285313","1.1235357387147367","1.051856024280228"
DSP Flexi Cap Fund,"Flexi Cap Fund","Growth","10725.6079","0.12699606293110036","0.0133","20.3796","25.29854814814819","1.4218464384341074","0.7892114184619679","1.1776026812459741","1.1746131139216094"
Nippon India Flexi Cap Fund,"Flexi Cap Fund","Growth","8280.1823","0.27780388766178205","0.0289","24.2462","25.29854814814819","0","1.2042220285574545","1.187434505225305","0"
WOC Flexi Cap Fund,"Flexi Cap Fund","Growth","7906.7493000000095","0.41432465531271495","0.0441","23.4623","25.29854814814819","0","1.4325509352097692","1.4315261848484202","0"
Bajaj Finserv Flexi Cap Fund,"Flexi Cap Fund","Growth","6952.818504999999","0.6826038382546643","0.0693","28.0833","25.29854814814819","0","2.331948853386646","0","0"
Helios Flexi Cap Fund,"Flexi Cap Fund","Growth","6762.7252","0.7715010823064347","0.0829","34.4738","25.29854814814819","0","2.677763725572254","0","0"
Bandhan Flexi Cap Fund,"Flexi Cap Fund","Growth","6651.136600000001","0.2666917321553107","0.0284","21.9623","25.29854814814819","1.1112986809955834","1.0680736411000267","1.1459265371299776","1.1791655929967975"
Quant Flexi Cap Fund,"Flexi Cap Fund","Growth","6593.522099999999","0.6556171748818056","0.0713","31.0653","25.29854814814819","1.8943916827327405","2.4109863761797348","1.4369824430783287","1.6402482921375123"
PGIM India Flexi Cap Fund,"Flexi Cap Fund","Growth","5792.967","0.27304153530186576","0.0293","30.2565","25.29854814814819","1.4649602392274939","1.0854546132243108","0.9738124018658262","1.0675032035795573"
HSBC Flexi Cap Fund,"Flexi Cap Fund","Growth","5405.1151","0.6191058067891142","0.066","26.3344","25.29854814814819","1.345036481437144","2.1741911248932193","1.4411153833209929","1.4572252321431767"
JM Flexicap Fund,"Flexi Cap Fund","Growth","5040.5071378190005","0.15080782473068166","0.0154","22.894","25.29854814814819","1.6487546176022734","0.8090889201025135","1.4942241989859284","1.6245111545969666"
Invesco India Flexi Cap Fund,"Flexi Cap Fund","Growth","4202.4256","0.2571670274354782","0.028","36.858","25.29854814814819","0","1.2879865321150497","1.558805034410195","0"
Abakkus Flexi Cap Fund,"Flexi Cap Fund","Growth","3901.185","0.5921191434162554","0.0615","23.9334","25.29854814814819","0","0","0","0"
