Name,"Sub Category","Plan","AUM","Alpha","Absolute Returns - 1Y","CAGR 10Y","CAGR 5Y","CAGR 3Y","Absolute Returns - 3M","Absolute Returns - 6M","3Y Avg Annual Rolling Return "
Parag Parikh Flexi Cap Fund,"Flexi Cap Fund","Growth","140949.9715","-0.16","4.205235053682641","18.344882467356925","16.595946949760034","17.67015012479223","-2.4166472085304433","-2.1576219655601463","22.638002284133893"
HDFC Flexi Cap Fund,"Flexi Cap Fund","Growth","91334.9081","-0.06","4.200794803533672","17.508040168281536","20.049032574019133","19.64108443759971","-4.605250395472651","-3.634101956341062","24.324723087363207"
Kotak Flexicap Fund,"Flexi Cap Fund","Growth","54838.6325","0.9900000000000001","7.919404390823658","15.364590710746228","14.415319482406176","16.02739097294601","-3.132988466415732","-0.7803641011896223","19.30453980097587"
Aditya Birla SL Flexi Cap Fund,"Flexi Cap Fund","Growth","25631.5095","2.15","10.934843893528729","15.744063914048812","14.768536883114635","18.80040380048902","0.3323163307693427","1.4370673592137395","19.986404363992246"
SBI Flexicap Fund,"Flexi Cap Fund","Growth","22402.6797","-0.36","3.5957017334526786","13.529756963410101","11.765398142324802","11.904175390136107","-2.9866785423846944","-3.05284798645543","15.317794202898801"
UTI Flexi Cap Fund,"Flexi Cap Fund","Growth","22167.580299999998","-2.4899999999999998","-1.617807677374633","12.691703058833536","8.04853978506479","9.904904337213537","-2.704627888262252","-6.976200285741813","12.482814154226615"
ICICI Pru Flexicap Fund,"Flexi Cap Fund","Growth","20936.0667981872","4.82","11.883899233296813","0","0","18.815662187900294","-0.1954079140205137","-0.8733624454148458","21.66111764031112"
Franklin India Flexi Cap Fund,"Flexi Cap Fund","Growth","19049.253716609","-1.29","1.393243703651465","14.747894175795185","16.037069862859244","17.035195283333127","-3.2536397167477635","-3.9609456904430247","21.215854030620594"
Canara Rob Flexi Cap Fund,"Flexi Cap Fund","Growth","13082.7301","1.35","6.677524429967419","15.843182457572391","13.889177729747892","14.9647892637357","-1.920793101667785","-2.604727477823931","17.943050369222345"
Motilal Oswal Flexi Cap Fund,"Flexi Cap Fund","Growth","11679.275800000001","-2.01","0.7377139010223462","13.77111837693079","13.74657555751364","21.31234403324531","-1.5075976861765985","-5.934070432274467","25.71961893022655"
Axis Flexi Cap Fund,"Flexi Cap Fund","Growth","11412.803399","0.38","7.132459970887921","0","12.236209337532667","15.413428493529358","0.7874015748031511","-1.637153357834943","17.287693604747382"
DSP Flexi Cap Fund,"Flexi Cap Fund","Growth","10725.6079","-0.09","4.41982302195565","15.662708476388332","13.664238850931198","16.155155635669317","-2.440479793830471","-2.6694275484232723","20.040213533809347"
Nippon India Flexi Cap Fund,"Flexi Cap Fund","Growth","8280.1823","0.75","6.744008159102504","0","0","16.29003529338251","0.5667974514132758","-1.2573565748685949","19.022625878207453"
WOC Flexi Cap Fund,"Flexi Cap Fund","Growth","7906.7493000000095","3.26","8.022719204827819","0","0","19.6386512030466","-0.09302325581395054","-1.7911892851379805","22.34312729638327"
Bajaj Finserv Flexi Cap Fund,"Flexi Cap Fund","Growth","6952.818504999999","5.08","13.059620004367769","0","0","0","2.2650951471653467","-0.05148336443786035","0"
Helios Flexi Cap Fund,"Flexi Cap Fund","Growth","6762.7252","3.82","14.996288047512987","0","0","0","1.57377049180328","-0.6414368184733781","0"
Bandhan Flexi Cap Fund,"Flexi Cap Fund","Growth","6651.136600000001","1.8399999999999999","5.98153594543486","12.241791237173283","13.71719770241171","15.720600716356149","-1.968343196537772","-1.900465332312634","18.100480184034918"
Quant Flexi Cap Fund,"Flexi Cap Fund","Growth","6593.522099999999","3.17","13.502254075121616","20.868149938480652","19.080958805040815","19.713503869651696","7.803447720315767","7.030152466974315","21.917616288993248"
PGIM India Flexi Cap Fund,"Flexi Cap Fund","Growth","5792.967","0.5599999999999999","6.078874654609381","16.137639435796004","12.418232501377279","13.359421783450664","-0.6586685485768081","-2.109411219286054","15.549735844528902"
HSBC Flexi Cap Fund,"Flexi Cap Fund","Growth","5405.1151","2.76","12.176128934705455","14.816588999623814","16.95185708009803","19.770202358808085","3.310361549608325","1.3521006782603027","22.224769145328338"
JM Flexicap Fund,"Flexi Cap Fund","Growth","5040.5071378190005","2.04","4.531143052703632","18.162272821137915","18.89788915969517","20.498785264024733","1.6578344976018153","-1.1542361545597775","26.365711009058224"
Invesco India Flexi Cap Fund,"Flexi Cap Fund","Growth","4202.4256","3.1300000000000003","7.213114754098362","0","0","21.384749149786852","1.4477766287487133","-2.6785714285714244","25.48773300006464"
Abakkus Flexi Cap Fund,"Flexi Cap Fund","Growth","3901.185","15.310000000000002","0","0","0","0","4.958429329860755","0","0"
Tata Flexi Cap Fund,"Flexi Cap Fund","Growth","3633.286898017","-0.27999999999999997","4.182927736263392","0","13.653431305469233","16.270877145586727","-2.6948275105657937","-3.0612839545742565","18.77476580234703"
Mirae Asset Flexi Cap Fund,"Flexi Cap Fund","Growth","3448.3390999999997","2.59","11.746243739565957","0","0","16.62252362710013","-0.9470818041908169","-0.6412540078375312","18.186526369930448"
JioBlackRock Flexi Cap Fund,"Flexi Cap Fund","Growth","3030.8168437229997","0.9400000000000001","0","0","0","0","-3.124631992149153","-2.2613861386138496","0"
Edelweiss Flexi Cap Fund,"Flexi Cap Fund","Growth","2957.3694","1.82","9.633094222566871","17.004231585314365","17.161717595459525","19.276910234606092","-1.2184204205515643","-0.37876285481492183","22.319323938305917"
NJ Flexi Cap Fund,"Flexi Cap Fund","Growth","2536.008467","-0.58","3.6349574632637327","0","0","0","-1.6152716593245144","-1.7595307917888579","0"
Bank of India Flexi Cap Fund,"Flexi Cap Fund","Growth","2387.5609","7.779999999999999","20.803571428571434","0","20.41957934930876","23.978529989359476","7.012918534141849","4.748387096774202","26.37725203458098"
Union Flexi Cap Fund,"Flexi Cap Fund","Growth","2294.0675","1.21","6.481828400149871","14.6459106649381","14.454035119715858","15.447817208276572","-0.7681564245810016","-1.439223166290963","18.07001177158894"
Sundaram Flexi Cap Fund,"Flexi Cap Fund","Growth","2003.889645","-0.64","4.870439320072135","0","0","14.306242313430184","-3.1945262011912203","-2.880402341914425","17.25454795097585"
360 ONE Flexicap Fund,"Flexi Cap Fund","Growth","1787.1290564024","1.8399999999999999","8.05542218259139","0","0","0","1.416302934322163","-0.8733844275808358","0"
Mahindra Manulife Flexi Cap Fund,"Flexi Cap Fund","Growth","1541.9705999999999","-0.45999999999999996","3.566002215509791","0","0","15.657075747538007","-3.076687759530022","-3.381560668180108","19.901207292859862"
Baroda BNP Paribas Flexi Cap Fund,"Flexi Cap Fund","Growth","1199.7988","1.48","8.978786058089105","0","0","17.00988129628498","0.38437211112734104","0.09460278956945255","19.36440785379766"
ITI Flexi Cap Fund,"Flexi Cap Fund","Growth","1133.9856","3.6799999999999997","14.464940286153482","0","0","21.999678709693725","1.8769831455648576","2.5493529950792717","23.465510784823092"
TRUSTMF Flexi Cap Fund,"Flexi Cap Fund","Growth","1081.3157","1.6500000000000001","8.763837638376378","0","0","0","1.3757523645743626","-0.7575757575757713","0"
LIC MF Flexi Cap Fund,"Flexi Cap Fund","Growth","973.2846000000001","3.36","13.69359433875564","11.590247548061772","12.361898608407085","14.030496262181714","-0.8073737891898827","-3.8470099028090305","16.981542091130592"
Capitalmind Flexi Cap Fund,"Flexi Cap Fund","Growth","424.7792","0.67","0","0","0","0","-0.3402494508942488","0.5470697637608405","0"
Taurus Flexi Cap Fund,"Flexi Cap Fund","Growth","305.8645","2.08","4.628710637913918","10.549345816473199","11.707431113148402","13.654820760232965","1.6123378899404042","-2.2548151894466315","16.031693328249947"
Samco Flexi Cap Fund,"Flexi Cap Fund","Growth","286.4435","0.12","5.9642147117296185","0","0","3.9513971378626556","2.205177372962612","1.9120458891013314","6.0702208845624845"
Navi Flexi Cap Fund,"Flexi Cap Fund","Growth","260.338422","3.88","16.06148399863072","0","14.489714330851665","15.399095717618906","3.8430938978885214","3.0880128148082187","16.269978522195146"
The Wealth Company Flexi Cap Fund,"Flexi Cap Fund","Growth","227.71436235599998","2.73","0","0","0","0","1.1171128154625065","1.95586760280841","0"
Unifi Flexi Cap Fund,"Flexi Cap Fund","Growth","188.007735589","1.59","0","0","0","0","0.19230393783799882","0.13658669840680734","0"
Old Bridge Flexi Cap Fund,"Flexi Cap Fund","Growth","152.6157","20.75","0","0","0","0","0","0","0"
Shriram Flexi Cap Fund,"Flexi Cap Fund","Growth","128.0288","-0.13","4.319798493364732","0","11.27076879288098","11.38825516825477","-2.4593846086747946","-3.1512668725072954","15.065416333302743"
