name,mfId,amc,aum,expRatio,ageInMon,navClose,benchmarkIndex,exitLoad,ret3m,ret6m,ret1y,ret3y,ret5y,ret10y,alpha,sharpe,sortino,stdDevAnn,catStdDevAnn,trackErr,pe,catPe,percEquityH,percMidcap,percLargecap,percSmallcap,percDebtH,percOtherH,riskClassification
HDFC Mid Cap Fund,M_HDCMS,HDFC Asset Management Company Limited,97350.4842,0.73,163,227.179,Nifty Midcap 150 - TRI,1,12.048828606658446,0.959470269309391,4.882181307824411,20.662715025099597,20.702247365279725,18.4985052268974,0.76,0.09207214562504774,0.0092,13.871144973649436,15.264744717209721,4.555983757653225,25.9024,33.757245933014374,92.47727213667002,66.78329299978971,10.044254612962664,15.649724523917676,0,0,Very High
Kotak Midcap Fund,M_KORY,Kotak Mahindra Asset Management Company Limited,64749.42480000001,0.39,163,168.007,Nifty Midcap 150 - TRI,1,15.83893542937912,5.50022606249373,6.561504991691086,20.86699261399969,18.46545809965745,18.75175376192835,1.71,0.21430585619623185,0.0219,15.618928289738705,15.264744717209721,3.6955854312950205,28.1522,33.757245933014374,98.0877209275224,61.16687618821903,20.060366003436666,16.8604787358667,0,0,Very High
Nippon India Growth Mid Cap Fund,M_NIGR,Nippon Life India Asset Management Limited,47415.4136,0.73,163,823.2037,Nifty Midcap 150 - TRI,1,15.527940809317872,6.01842461089726,7.214115211416114,23.100791765480942,21.47575576839862,19.323160504462898,1.9300000000000002,0.26351683058203323,0.0269,15.74116200030989,15.264744717209721,2.7066035912190767,29.3445,33.757245933014374,98.68885971718946,58.073704764812156,27.714369032474497,12.900785919902788,0,0,Very High
Motilal Oswal Midcap Fund,M_MOLS,Motilal Oswal Asset Management Company Limited,36458.2077,0.75,150,109.2744,Nifty Midcap 150 - TRI,1,14.286192395102427,-4.070876012627342,-8.795188465939583,18.734334849167887,23.001457543773228,17.504157922124854,-4.77,-0.6937159937611357,-0.0731,18.471577353328545,15.264744717209721,7.915029622180829,44.9202,33.757245933014374,93.37219722954178,67.23534903774217,26.136848191799608,0,0,0,Very High
Axis Midcap Fund,M_AXMI,Axis Asset Management Company Ltd.,32852.1282,0.57,163,139.92,BSE 150 MidCap - TRI,1,14.622757434259029,5.719682659614653,4.856115107913661,18.050679939980686,15.66091404033838,18.08140910878673,3.9899999999999998,0.090484694838409,0.0092,14.293406882895345,15.264744717209721,6.686342713322434,39.1342,33.757245933014374,91.19193586064235,65.52776723000856,22.086468763384428,3.5776998672493927,0,0,Very High
SBI Midcap Fund,M_SBIAU,SBI Funds Management Limited,23416.7473,0.85,163,272.9612,Nifty Midcap 150 - TRI,0.1,14.642325999241503,2.5119370149238067,1.676787987172757,13.725207734677491,15.957876895113433,14.874970869124105,-1.3599999999999999,-0.1285835137177391,-0.0126,13.774310475664473,15.264744717209721,4.862361759474505,39.9256,33.757245933014374,95.44589781690134,60.6379623014508,12.615355421288593,22.19258009416193,1.188417402445984,0,Very High
DSP Midcap Fund,M_DSPMU,DSP Investment Managers Private Limited,19672.9709,0.6,163,171.358,Nifty Midcap 150 - TRI,1,13.408516327151908,2.564133258316669,4.079153557415489,18.600342526087243,13.281105824617278,15.213688086116207,0.67,0.04762352359916264,0.005,15.317312640277342,15.264744717209721,3.6892356281484653,28.6789,33.757245933014374,95.58275766066429,66.49301351835987,15.666902653731869,13.422841488572532,0,0,Very High
Mirae Asset Midcap Fund,M_MIAI,Mirae Asset Investment Managers (India) Private Limited,19002.662800000002,0.5,85,42.837,Nifty Midcap 150 - TRI,1,17.063372776214027,2.990887889789146,8.73714938443965,19.736426476890312,17.434063587882598,,2.35,0.33812701755405467,0.0342,15.43160909691533,15.264744717209721,3.3399964550879395,37.975,33.757245933014374,99.02157028224484,72.91492537561628,12.534425964765319,13.572218941863234,0,0,Very High
Edelweiss Mid Cap Fund,M_EDME,Edelweiss Asset Management Limited,16848.5981,0.48,163,126.916,Nifty Midcap 150 - TRI,1,15.179235865323532,3.147680079321855,5.164770514488362,24.047740549398643,20.643431436421977,19.877539927715617,1.09,0.13493331686429413,0.0136,15.161742463186743,15.264744717209721,2.895510234829088,30.3416,33.757245933014374,94.42673987220338,60.887700799273034,22.79543601909526,10.743603053835075,0,0,Very High
HSBC Midcap Fund,M_LTIU,HSBC Global Asset Management (India) Private Limited,14249.2203,0.56,163,525.3825,Nifty Midcap 150 - TRI,1,23.90129449800029,15.181133517445142,17.499275389545225,27.678355439849668,20.443575780819323,18.471212834709473,5.81,0.847698720065095,0.0888,16.150724303262688,15.264744717209721,5.837056542470701,39.5431,33.757245933014374,98.89120529633466,51.371029753817474,26.54475206618849,20.97542347632874,0,0,Very High
