name,mfId,slug,ret3m,ret6m,ret1y,ret3y,ret5y,ret10y,alpha,sharpe,sortino,stdDevAnn,catStdDevAnn,trackErr,pe,catPe,percEquityH,percMidcap,percLargecap,percSmallcap,percDebtH,percOtherH,aum,expRatio,ageInMon,navClose,exitLoad,benchmarkIndex,riskClassification
ICICI Pru Multi-Asset Fund,M_ICPPP,/mutualfunds/icici-pru-multi-asset-fund-M_ICPPP,0.408682070992354,-0.2627104876273046,7.719641628554573,15.729851167142117,17.90132987926132,15.90409762079501,2.48,0.29050349395489206,0.0294,9.79933370592103,10.717063993328148,5.708473028752961,20.0005,23.354202884615404,67.22577159777597,14.83219629389974,45.38793009094371,6.8970138707991495,14.054794074269385,0,83883.5129940781,0.79,163,895.0941,1,NIFTY 200 - TRI,Very High
SBI Multi Asset Allocation Fund,M_SBTO,/mutualfunds/sbi-multi-asset-allocation-fund-M_SBTO,1.0292669342733525,0.032414649269446455,12.284314539566537,16.20789018083888,14.185600769096007,12.257802094023296,3.2199999999999998,0.9334210625435876,0.0918,9.007195763388292,10.717063993328148,8.29443036018749,19.601,23.354202884615404,46.76621950378326,11.904046373289164,16.469050071444258,18.393123059049834,32.829120949951815,0,19354.245,0.74,161,74.3732,1,BSE 500 - TRI,Very High
Nippon India Multi Asset Allocation Fund,M_NIPU,/mutualfunds/nippon-india-multi-asset-allocation-fund-M_NIPU,1.3597436909714844,1.1064326068188401,15.030759421688412,19.17382545214337,16.4373813105668,,2.5,0.8762728342245925,0.0856,11.12485511276439,10.717063993328148,10.91054925656816,26.0337,23.354202884615404,56.23554602447589,12.10112780934368,38.10501098057335,6.029407234558863,19.6284342878335,0,16000.1549,0.43,72,26.7014,1,BSE 500 - TRI,Very High
Kotak Multi Asset Allocation Fund,M_KOTUU,/mutualfunds/kotak-multi-asset-allocation-fund-M_KOTUU,-0.3295093971198562,-2.669526874031703,20.13827596351868,,,,7.46,0.9508830211966139,0.0887,15.363348713089865,10.717063993328148,10.17238464078114,17.114,23.354202884615404,70.58096043683213,17.487091718347518,39.8219041413815,13.271964577103102,10.461501020661972,0,14308.5079,0.6,35,16.334,1,NIFTY 500 - TRI,Very High
DSP Multi Asset Allocation Fund,M_DSPUI,/mutualfunds/dsp-multi-asset-allocation-fund-M_DSPUI,0.7925903982298209,0.04680748919826923,17.32194253464037,,,,6.09,1.1651888773928458,0.1179,10.724817514531425,10.717063993328148,9.335798076222513,18.5967,23.354202884615404,45.17399473818031,5.647028283552264,28.3737951493242,3.469986967269656,14.058892843936748,0,10105.1734,0.49,35,16.6718,1,NIFTY 500 - TRI,High
WOC Multi Asset Allocation Fund,M_WOMT,/mutualfunds/woc-multi-asset-allocation-fund-M_WOMT,2.697147128441509,4.183254344391779,13.312714776632285,16.683466754285558,,,2.07,1.1969378931256207,0.1199,6.89588621715875,10.717063993328148,6.619669780283606,25.5816,23.354202884615404,26.436048573927206,3.7952791215320145,18.54509327754589,3.935397854277317,29.64313252606953,0,7762.559499999999,0.67,39,16.487,0,CRISIL Short Term Bond Index,High
Aditya Birla SL Multi Asset Allocation Fund,M_ADYUO,/mutualfunds/aditya-birla-sl-multi-asset-allocation-fund-M_ADYUO,2.4086884418905465,0.6754907996443039,14.768724900250838,16.5145603375217,,,5.92,0.8905598913043412,0.0872,12.574197680965574,10.717063993328148,7.738822584863928,27.6636,23.354202884615404,67.77023107904313,18.653755130492616,41.2081447801299,7.908331168420617,11.311262064163081,0,6989.1193,0.68,43,17.6613,1,BSE 200,Very High
UTI Multi Asset Allocation Fund,M_UTIMA,/mutualfunds/uti-multi-asset-allocation-fund-M_UTIMA,1.7233165104542136,-0.46369770702162144,7.6355584741821545,16.473354652100667,14.445841801671166,11.311386723019613,1.48,0.36352623014027474,0.0361,11.391546844919702,10.717063993328148,10.602583803960242,25.4424,23.354202884615404,66.44711385197353,15.373077693130883,48.46963549943532,2.6044006594073417,10.44046578825512,0,6890.1265,0.88,163,88.1814,1,BSE 200 - TRI,Very High
HDFC Multi-Asset Allocation Fund,M_HDCUU,/mutualfunds/hdfc-multi-asset-allocation-fund-M_HDCUU,0.5852502573186255,-1.3718725062197776,5.5458575608776055,12.441665844955363,12.074955199117031,11.763371242509812,2.42,0.20001879911648307,0.0199,9.038944779121069,10.717063993328148,6.478386660272757,21.3559,23.354202884615404,67.98733119645267,7.141914219925374,53.2547445528263,7.590672423701005,14.565332470229315,0,5881.4078,1.04,163,84.043,1,NIFTY 50 - TRI,Very High
Quant Multi Asset Allocation Fund,M_QUNS,/mutualfunds/quant-multi-asset-allocation-fund-M_QUNS,4.163651899573685,5.2617923782075104,19.891114759984635,22.71009952025551,20.31765522517679,18.998745816892537,7.049999999999999,1.5160155012400105,0.1665,9.891405851546079,10.717063993328148,8.842100881577863,22.4821,23.354202884615404,52.65804758308152,4.5115238867272485,44.62339765844732,3.5231260379069522,10.45492189097284,0,5615.034100000001,1.16,163,182.9771,1,NIFTY 500 - TRI,High
