Name,"Sub Category","Plan","AUM","Alpha","CAGR 10Y","3Y Avg Annual Rolling Return ","CAGR 5Y","CAGR 3Y","Absolute Returns - 3M","Absolute Returns - 1Y","Absolute Returns - 6M"
Parag Parikh Flexi Cap Fund,"Flexi Cap Fund","Growth","128966.4832","-0.16","18.21077477444659","22.455343491516775","16.298563455895334","16.93507482490051","-2.306792539322661","1.2295461260990024","-3.846512317566579"
HDFC Balanced Advantage Fund,"Balanced Advantage Fund","Growth","105377.6508","0.58","15.748568981024258","20.281611857066817","16.173764183242056","15.294185963863981","-4.5478211068881205","-0.2160755883569603","-5.345357231979221"
HDFC Mid Cap Fund,"Mid Cap Fund","Growth","94744.7175","0.51","19.112253238714505","28.714601870802802","21.300783497776465","23.83106630713221","-1.6576976966257055","8.156214574203398","-2.3301676497569277"
HDFC Flexi Cap Fund,"Flexi Cap Fund","Growth","91334.9081","0.32","17.354715499443564","24.076626788761168","18.857222024959498","18.81994806946834","-6.757558236309328","0.4341657595989827","-6.93854978184649"
ICICI Pru Multi-Asset Fund,"Multi Asset Allocation Fund","Growth","83547.3520274154","2.96","16.945531121833767","20.849426185908964","18.6795827912575","18.064280065058668","-2.7910548670833246","8.263157559377984","-0.7692129721143109"
SBI Equity Hybrid Fund,"Aggressive Hybrid Fund","Growth","83353.4758","1.8499999999999999","13.229132426120316","15.929205488905287","12.220856658385614","14.587489366034955","-0.29791442286348724","5.129519786343274","-1.7684985597372653"
ICICI Pru Large Cap Fund,"Large Cap Fund","Growth","75650.4301701308","0.37","15.053810125123768","19.907311568738212","14.632758188045747","15.125532489766623","-6.775999999999999","-1.8115942028985554","-8.661232168051416"
SBI Liquid Fund,"Liquid Fund","Growth","74571.1212","-0.06","6.093246922935491","7.011355488850422","6.090910922696979","6.922053536118478","1.6202998076133377","6.21148484852408","3.1319913538868542"
HDFC Liquid Fund,"Liquid Fund","Growth","72872.5607","0.22","6.093213062620828","7.0366919449571","6.101292427975924","6.947714872722588","1.6144796044093384","6.239045412430812","3.1455264046359916"
Nippon India Small Cap Fund,"Small Cap Fund","Growth","72672.99160000001","2.33","22.096881875915365","26.357190531392813","22.1299877227338","20.93659512402528","5.62901589448765","6.240087338400632","1.2520175489505592"
Kotak Arbitrage Fund,"Arbitrage Fund","Growth","69951.2131","0.21","6.485656284179875","7.8903728803158435","6.796904540655402","7.649427438190215","1.452248840525864","6.606052210706579","3.1915023294480602"
ICICI Pru Balanced Advantage Fund,"Balanced Advantage Fund","Growth","66397.797033849","2.17","12.0876541804394","14.327029652603002","11.409598670746579","12.372895313225186","-2.552847406722876","4.6260697011038125","-2.3045744064852287"
ICICI Pru Value Fund,"Value Fund","Growth","59588.2980408276","-0.06","16.17068435769653","23.008130387794456","17.96270138939995","17.684520444391396","-6.275863348735362","0.16261774913237345","-7.597877789974392"
Kotak Midcap Fund,"Mid Cap Fund","Growth","55675.9831","1.5699999999999998","19.364511388391435","24.80684489441124","19.645975344062983","22.57892487629134","2.131013176974967","10.918627263016624","0.6868259937222353"
Kotak Flexicap Fund,"Flexi Cap Fund","Growth","54838.6325","1.0999999999999999","15.007593151810994","19.138491766706156","13.484275230577358","15.158846715130991","-5.816348056696829","1.362206341827308","-5.604889049977844"
ICICI Pru Liquid Fund,"Liquid Fund","Growth","54639.4076070732","0.18","6.142113138598138","7.054723020383906","6.106123235060168","6.957123123312647","1.6005586219867873","6.215675796048014","3.122813373006725"
Nippon India Multi Cap Fund,"Multi Cap Fund","Growth","52634.0393","1.2","17.005890788471657","25.40328865798228","21.37818225132053","19.837027646508055","-1.2151179515595776","3.7219362853140616","-2.9485148278963473"
Nippon India Large Cap Fund,"Large Cap Fund","Growth","51690.282300000006","1.92","15.98521287703285","21.603963807846917","17.048803203315433","15.766271360383532","-5.604446103088121","0.49228230040863447","-6.828673345031043"
Axis Liquid Fund,"Liquid Fund","Growth","51643.210500999994","-0.11","6.186128872315155","7.098566345230388","6.165899829372989","7.015841825377134","1.6395066343905882","6.313017600641736","3.1841068077526753"
ICICI Pru Equity & Debt Fund,"Aggressive Hybrid Fund","Growth","50367.7287578124","1.22","16.68564033579285","20.932926498892957","17.774819172354526","17.362315152557862","-3.2078868786228734","3.430233922244904","-3.7383993885795404"
SBI Large Cap Fund,"Large Cap Fund","Growth","48925.6946","1.49","13.153456843268518","16.15400190254763","12.308435435665576","11.988682157979014","-5.008734027658702","0.5207471320522217","-5.090644480467527"
SBI Contra Fund,"Contra Fund","Growth","47352.1726","-0.21","16.978174954377877","23.37311963959903","18.802347826176312","16.80015469359315","-5.2032212477311015","-0.8137872695830932","-6.101983479261525"
SBI Focused Fund,"Focused Fund","Growth","46041.951100000006","5.37","16.24914861549458","19.198268574123773","15.512565525695576","18.803798324108012","2.277997245214826","14.389058822846089","2.2477785929826304"
Nippon India Growth Mid Cap Fund,"Mid Cap Fund","Growth","45820.331900000005","1.63","19.957154961244527","28.70785362278795","22.65778451138121","25.842163555285236","1.7629518975628964","11.252315801887363","2.558523382572945"
Aditya Birla SL Liquid Fund,"Liquid Fund","Growth","43022.1784","-0.04","6.204033745901305","7.081103175669499","6.178481505720823","7.019739663016522","1.6222780275953934","6.299276483844417","3.164431862086673"
SBI Arbitrage Opportunities Fund,"Arbitrage Fund","Growth","42847.284100000004","0.19","6.277544717730876","7.850598700310966","6.724788490662337","7.5005116077929035","1.4418120142097801","6.604763963195217","3.1522453569158797"
Kotak Liquid Fund,"Liquid Fund","Growth","42388.801799999994","-0.06","6.102960804005453","7.828380864170821","6.111231889823099","6.9653784555899545","1.6136752654810962","6.235210361708719","3.1199995023300833"
SBI Balanced Advantage Fund,"Balanced Advantage Fund","Growth","38487.8691","0.88","0","15.506752178524676","0","12.500925368284467","-2.4901461529746407","3.5840295945321023","-1.7938647064475846"
SBI Large & Midcap Fund,"Large & Mid Cap Fund","Growth","38425.6375","1.11","16.054072146176424","20.234658587593554","16.390063439273895","16.733606348497986","-3.6394230006309662","6.057836557380742","-2.763050308003852"
