Name,"Sub Category","Plan","AUM","Returns vs sub-category - 5Y","Returns vs sub-category - 10Y","PE Ratio","Category YTM","Returns vs sub-category - 1Y","Average Maturity","Category PE Ratio","Sortino Ratio","Sharpe Ratio","Returns vs sub-category - 3Y"
Parag Parikh Flexi Cap Fund,"Flexi Cap Fund","Growth","128966.4832","1.5102378917919952","1.6965506457131747","15.9811","0","-4.75092956226581","0","26.007497777777786","-0.0381","-0.36670113171355223","1.344723917795505"
HDFC Balanced Advantage Fund,"Balanced Advantage Fund","Growth","105377.6508","2.3432295449712797","2.5451611856881473","18.0993","6.9594690265486765","0.26127505206115975","7.37","23.530426400000017","-0.0514","-0.523858759590789","1.9065340210723671"
HDFC Mid Cap Fund,"Mid Cap Fund","Growth","94744.7175","1.4442085091021943","1.467213090851946","25.5093","0","1.4793928784596742","0","33.032014285714304","0.0265","0.26986663372858827","1.2920579951794253"
HDFC Flexi Cap Fund,"Flexi Cap Fund","Growth","91334.9081","1.7473252359383455","1.616798524578105","22.819","0","-1.6776035468849997","0","26.007497777777786","-0.0308","-0.30796545260791836","1.4943916435180022"
ICICI Pru Multi-Asset Fund,"Multi Asset Allocation Fund","Growth","83547.3520274154","1.4241160033088072","1.6187561719231807","19.9442","6.745476190476196","0.671541435137371","4.28","22.43889587628866","0.0451","0.45242347419204504","1.1556662975990157"
SBI Equity Hybrid Fund,"Aggressive Hybrid Fund","Growth","83353.4758","1.4122497302132393","1.653093746015675","25.9192","7.129446808510636","-2.606201795434182","3.99","25.0177225680934","0.0041","0.04127372045260761","1.5010366590089064"
ICICI Pru Large Cap Fund,"Large Cap Fund","Growth","75650.4301701308","1.6604930379962202","1.8159779179238","21.5877","5.6000000000000005","0.49811405063123626","0","23.647500778210134","-0.0505","-0.5016344485778464","1.5288348808304009"
SBI Liquid Fund,"Liquid Fund","Growth","74571.1212","5.42038985349425","1.6751160752191694","0","6.138900414937778","3.2086339346631836","0.12","0","-0.1936","-2.312915796132665","2.984357971515921"
HDFC Liquid Fund,"Liquid Fund","Growth","72872.5607","5.429628505412191","1.6751067665602357","0","6.138900414937778","3.2228707496544664","0.12556164383561644","0","-0.1813","-2.1621079714019835","2.9954215401599122"
Nippon India Small Cap Fund,"Small Cap Fund","Growth","72672.99160000001","1.4492734805180927","1.5915930234459024","28.7615","0","1.4767446689097308","0","31.598579411764693","0.0159","0.15557017709059792","1.332372426341969"
