Name,"Sub Category","Plan","AUM","Average YTM","% Away from ATH","% Other Holdings","% Sovereign Debt Holding","% Largecap Holding","% Midcap Holding","% Poorly Rated Bonds","% Corporate Debt Holding","% B Rated Bonds","% Concentration - Top 10 Holdings"
Parag Parikh Flexi Cap Fund,"Flexi Cap Fund","Growth","128966.4832","0","5.21","0","0","64.2244674735532","1.478092317315579","0","0","0","52.36173368080462"
HDFC Balanced Advantage Fund,"Balanced Advantage Fund","Growth","105377.6508","7.34","5.86","0","9.39471692986345","51.99699175681373","9.51962045447305","0","15.58766206619591","0","30.76475500628638"
HDFC Mid Cap Fund,"Mid Cap Fund","Growth","94744.7175","0","2.99","0","0","13.156246521079142","61.92416637898572","0","0","0","38.07235342698658"
HDFC Flexi Cap Fund,"Flexi Cap Fund","Growth","91334.9081","0","7.58","0","0.506841559141394","74.59089854019867","10.947275086027036","0","0","0","48.02569905819784"
ICICI Pru Multi-Asset Fund,"Multi Asset Allocation Fund","Growth","83547.3520274154","6.75","3.89","0","3.622814160533529","44.95878252092824","15.395776153119941","0","3.4983600665654984","0","37.71818248609417"
SBI Equity Hybrid Fund,"Aggressive Hybrid Fund","Growth","83353.4758","7.35","2.04","0","2.51945906255777","55.97918977243179","15.65733051290467","0","13.680295741188512","0","36.96432260836807"
ICICI Pru Large Cap Fund,"Large Cap Fund","Growth","75650.4301701308","0","9.24","0","0","83.31677144234672","8.816108361844186","0","0","0","54.239501226525626"
SBI Liquid Fund,"Liquid Fund","Growth","74571.1212","6.26","0","0","0.376921247095317","0","0","0","1.8511403312519847","0","31.865871288522328"
HDFC Liquid Fund,"Liquid Fund","Growth","72872.5607","6.24","0","0","0.0412916737259653","0","0","0","2.2297195053830468","0","29.841575472453524"
Nippon India Small Cap Fund,"Small Cap Fund","Growth","72672.99160000001","0","5.26","0","0","13.80610399627737","15.23788088729631","0","0","0","15.895116387535538"
Kotak Arbitrage Fund,"Arbitrage Fund","Growth","69951.2131","7.09","0.07","0","0","51.519712958344705","14.991227650346502","0","0","0","38.525481697471854"
ICICI Pru Balanced Advantage Fund,"Balanced Advantage Fund","Growth","66397.797033849","6.78","3.73","0","6.846197922883206","57.54783455420112","6.6820663325489065","0","4.6761086854556515","0","36.034755072964195"
ICICI Pru Value Fund,"Value Fund","Growth","59588.2980408276","0","8.49","0","0","72.87505488115613","5.814860826576942","0","0","0","53.924405221280125"
Kotak Midcap Fund,"Mid Cap Fund","Growth","55675.9831","0","2.42","0","0","21.358314877358016","62.02566249583292","0","0","0","29.366828448460744"
Kotak Flexicap Fund,"Flexi Cap Fund","Growth","54838.6325","0","7.31","0","0","71.91902022720937","21.06863350394451","0","0","0","41.913977340700484"
ICICI Pru Liquid Fund,"Liquid Fund","Growth","54639.4076070732","6.15","0","0","0.11931864354905701","0","0","0","0.8881042479259657","0","36.54477047700481"
Nippon India Multi Cap Fund,"Multi Cap Fund","Growth","52634.0393","0","3.61","0","0","46.39611385238505","24.53090731976611","0","0","0","29.15674704678488"
Nippon India Large Cap Fund,"Large Cap Fund","Growth","51690.282300000006","0","7.29","0","0","82.25844877927369","11.05575254055677","0","0","0","43.56055626945291"
