Name,"Sub Category","Plan","AUM","Average YTM","% Away from ATH","% A Rated Bonds","% Equity Holding","% Smallcap Holding","% Debt Holding","% Concentration - Top 3 Holdings","% Concentration - Top 5 Holdings","% Cash Holding"
Parag Parikh Flexi Cap Fund,"Flexi Cap Fund","Growth","128966.4832","0","5.21","9.920988171324321","80.81952212384806","3.304500065117077","10.380229839209303","20.87629538825412","31.225827668932872","4.2527553118377135"
HDFC Balanced Advantage Fund,"Balanced Advantage Fund","Growth","105377.6508","7.34","5.86","16.874020596405238","69.72155010310767","8.204937891820979","26.268737526268676","12.68920866852347","19.33970044433747","2.4607918095665067"
HDFC Mid Cap Fund,"Mid Cap Fund","Growth","94744.7175","0","2.99","0","93.44038943384894","18.359976533784064","0","15.22877705556513","22.505541060904","6.559610566151088"
HDFC Flexi Cap Fund,"Flexi Cap Fund","Growth","91334.9081","0","7.58","0","92.85713291905499","7.3189592928293","0.5068415591413941","22.32910684264515","31.537082089207257","4.386428284640097"
ICICI Pru Multi-Asset Fund,"Multi Asset Allocation Fund","Growth","83547.3520274154","6.75","3.89","7.4771946068980135","69.0032230836981","8.102200292091545","13.23327206872104","20.2186640151767","26.151242462873718","5.520862260125076"
SBI Equity Hybrid Fund,"Aggressive Hybrid Fund","Growth","83353.4758","7.35","2.04","16.311329275125438","72.98572832879994","1.349208043463498","19.81051724780023","14.85332060981673","21.80652915256115","7.185737538253928"
ICICI Pru Large Cap Fund,"Large Cap Fund","Growth","75650.4301701308","0","9.24","0.131916368189275","93.96914378428457","1.301792994151189","0.9942242209443073","23.370750516869712","34.65356434992322","5.035184018867263"
SBI Liquid Fund,"Liquid Fund","Growth","74571.1212","6.26","0","88.04593996100462","0","0","0","12.300569647328828","18.834292248780066","-5.8181653033802"
HDFC Liquid Fund,"Liquid Fund","Growth","72872.5607","6.24","0","86.52058867474382","0","0","0","13.457407432644262","18.923297421604122","-6.6657322774716254"
Nippon India Small Cap Fund,"Small Cap Fund","Growth","72672.99160000001","0","5.26","0.206202189649077","97.05381356894503","67.5472554617911","0.206202189649077","6.3445410699895","9.553402777864179","2.739984241405915"
Kotak Arbitrage Fund,"Arbitrage Fund","Growth","69951.2131","7.09","0.07","7.383176175396453","68.82521312557483","2.3142725168836282","7.383176175396453","21.43612360026396","27.81781106809717","0.176357770698904"
ICICI Pru Balanced Advantage Fund,"Balanced Advantage Fund","Growth","66397.797033849","6.78","3.73","9.621991029368104","68.12069944632266","3.254562074755072","18.855119406000643","17.173011847493388","24.08624667308802","8.614242083665319"
ICICI Pru Value Fund,"Value Fund","Growth","59588.2980408276","0","8.49","0.167474660765817","84.55430051967332","5.864384811940284","1.1586452754984768","23.59539936912877","34.17228578344071","5.109580472900029"
Kotak Midcap Fund,"Mid Cap Fund","Growth","55675.9831","0","2.42","0","99.20047207174801","15.81649469855708","0","11.95027174752131","17.59696669916824","0.6214218514236203"
Kotak Flexicap Fund,"Flexi Cap Fund","Growth","54838.6325","0","7.31","0","97.29534867595403","4.307694944800087","0","16.40768485610943","25.282452110745112","2.524960118215928"
ICICI Pru Liquid Fund,"Liquid Fund","Growth","54639.4076070732","6.15","0","81.51191557617562","0","0","0","16.85832845451198","24.05724160577903","2.103096935707684"
Nippon India Multi Cap Fund,"Multi Cap Fund","Growth","52634.0393","0","3.61","0","99.55490324165586","28.627882069504697","0","13.67184505565365","18.81521052002529","0.44509675834413215"
Nippon India Large Cap Fund,"Large Cap Fund","Growth","51690.282300000006","0","7.29","0","96.43502989306837","2.614082646768089","0","21.52624903981299","28.989396903211485","3.564970106931693"
Axis Liquid Fund,"Liquid Fund","Growth","51643.210500999994","6.23","0","86.93026296070414","0","0","0","9.72307997776397","15.11664221572747","1.0147047287077642"
ICICI Pru Equity & Debt Fund,"Aggressive Hybrid Fund","Growth","50367.7287578124","7.46","4.47","11.739572035165185","71.35920456692247","7.040323015260007","20.68550867182782","15.55792983574736","24.2288778965582","2.994845102239068"
SBI Large Cap Fund,"Large Cap Fund","Growth","48925.6946","0","6.83","0","97.24431501607471","2.011718546097207","0.778523897826534","23.05011552313143","32.54373577945829","1.9771610860987348"
SBI Contra Fund,"Contra Fund","Growth","47352.1726","0","7.47","2.9689541636786436","83.31080293452048","10.693449786926989","5.315364136005873","22.47866933142578","28.504855973598982","10.457396204033945"
SBI Focused Fund,"Focused Fund","Growth","46041.951100000006","0","1.9","0","91.16662043455412","6.091442549662061","0.9024363435371441","25.79773492700663","38.32653998887552","7.9309432219087705"
Nippon India Growth Mid Cap Fund,"Mid Cap Fund","Growth","45820.331900000005","0","1.7","0","98.51368184518196","11.961356392069694","0","9.53550229275953","14.210041543419699","1.486318154818011"
Aditya Birla SL Liquid Fund,"Liquid Fund","Growth","43022.1784","6.38","0","93.27332137651477","0","0","0","11.80909886924607","17.62621644699938","-6.70267990394922"
SBI Arbitrage Opportunities Fund,"Arbitrage Fund","Growth","42847.284100000004","6.62","0.07","7.11285362425106","70.90824340019248","3.3591870062074727","7.157744217445042","18.91295719254234","27.24713116647689","3.9620011761725613"
Kotak Liquid Fund,"Liquid Fund","Growth","42388.801799999994","6.31","0","90.22226879741622","0","0","0","10.86808521207127","16.742214449666278","-9.95805571461092"
SBI Balanced Advantage Fund,"Balanced Advantage Fund","Growth","38487.8691","7.1","3.33","15.215209293576992","68.62003304046532","4.643067116389775","23.593668440166375","14.950383019693682","20.773736742191364","5.597354739801585"
SBI Large & Midcap Fund,"Large & Mid Cap Fund","Growth","38425.6375","0","4.96","0","93.50197039671754","14.643525692969963","0.7359008682679626","16.54946908818364","22.929994329957438","5.762128735014479"
Mirae Asset Large Cap Fund,"Large Cap Fund","Growth","38239.206","0","8.92","0","99.63028154925601","3.6532073913877814","0","23.03423873393188","32.11625419209804","0.2044911706587218"
Mirae Asset Large & Midcap Fund,"Large & Mid Cap Fund","Growth","38138.081600000005","0","4.79","0","99.18632836056494","12.734106571274426","0","13.23518143822307","19.02227426346198","0.63364464071142"
HDFC Large Cap Fund,"Large Cap Fund","Growth","38121.2733","0","10.23","0","96.4286192927349","0","0.494674977186557","22.89766774395754","33.974786723611345","3.076705730078542"
Nippon India Liquid Fund,"Liquid Fund","Growth","37902.756499999996","6.34","0","89.79098763870334","0","0","0","8.30429391154415","12.213963647988301","-3.6779343586955617"
