Name,"Sub Category","Plan","AUM","Expense Ratio","Benchmark","Time since inception","NAV","AMC","Minimum Lumpsum","Lock-in","Fund Manager","Exit Load","SIP Investment","Minimum SIP"
Parag Parikh Flexi Cap Fund,"Flexi Cap Fund","Growth","128966.4832","0.53","NIFTY 500 - TRI","157","90.7862","PPFAS Asset Management Pvt. Ltd.","1000","0","Rajeev Thakkar,Rukun Tarachandani,Raj Mehta,Mansi Kariya","2","Allowed","3000"
HDFC Balanced Advantage Fund,"Balanced Advantage Fund","Growth","105377.6508","0.74","NIFTY 50 Hybrid Composite Debt 50:50 Index","161","550.005","HDFC Asset Management Company Limited","100","0","Gopal Agrawal,Srinivasan Ramamurthy,Arun Agarwal,Nandita Menezes","1","Allowed","100"
HDFC Mid Cap Fund,"Mid Cap Fund","Growth","94744.7175","0.72","Nifty Midcap 150 - TRI","161","220.391","HDFC Asset Management Company Limited","100","0","Chirag Setalvad","1","Allowed","100"
HDFC Flexi Cap Fund,"Flexi Cap Fund","Growth","91334.9081","0.67","NIFTY 500 - TRI","161","2128.669","HDFC Asset Management Company Limited","100","0","Amit Ganatra","1","Allowed","100"
ICICI Pru Multi-Asset Fund,"Multi Asset Allocation Fund","Growth","83547.3520274154","1.07","Gold-India","161","883.5287","ICICI Prudential Asset Management Company Limited","5000","0","Sankaran Naren,Ihab Dalwai,Manish Banthia,Gaurav Chikane","1","Allowed","100"
SBI Equity Hybrid Fund,"Aggressive Hybrid Fund","Growth","83353.4758","0.71","CRISIL Hybrid 35+65 - Aggressive Index","161","339.553","SBI Funds Management Limited","1000","0","R. Srinivasan,Rajeev Radhakrishnan,Mansi Sajeja","1","Allowed","5000"
ICICI Pru Large Cap Fund,"Large Cap Fund","Growth","75650.4301701308","1.2","NIFTY 100 - TRI","161","116.53","ICICI Prudential Asset Management Company Limited","100","0","Sankaran Naren,Vaibhav Dusad,Sharmila Dmello","1","Allowed","100"
SBI Liquid Fund,"Liquid Fund","Growth","74571.1212","0.2","Nifty Liquid Fund Index","161","4348.4249","SBI Funds Management Limited","500","0","Rajeev Radhakrishnan","0.0055","Allowed","12000"
HDFC Liquid Fund,"Liquid Fund","Growth","72872.5607","0.21","CRISIL Liquid Debt Index","161","5462.837","HDFC Asset Management Company Limited","100","0","Swapnil Jangam,Rohan Pillai","0.0055","Allowed","100"
Nippon India Small Cap Fund,"Small Cap Fund","Growth","72672.99160000001","0.65","Nifty Smallcap 250 - TRI","161","193.6539","Nippon Life India Asset Management Limited","0","0","Samir Rachh","1","Allowed","100"
Kotak Arbitrage Fund,"Arbitrage Fund","Growth","69951.2131","0.39","Nifty 50 Arbitrage","161","42.3274","Kotak Mahindra Asset Management Company Limited","100","0","Hiten Shah","0.25","Allowed","100"
ICICI Pru Balanced Advantage Fund,"Balanced Advantage Fund","Growth","66397.797033849","0.89","CRISIL Hybrid 50+50 - Moderate Index","161","84.36","ICICI Prudential Asset Management Company Limited","500","0","Rajat Chandak,Ihab Dalwai,Manish Banthia,Akhil Kakkar","1","Allowed","0"
ICICI Pru Value Fund,"Value Fund","Growth","59588.2980408276","1.21","NIFTY 500 - TRI","161","505.07","ICICI Prudential Asset Management Company Limited","1000","0","Sankaran Naren,Dharmesh Kakkad,Masoomi Jhurmarvala","1","Allowed","5000"
Kotak Midcap Fund,"Mid Cap Fund","Growth","55675.9831","0.41","Nifty Midcap 150 - TRI","161","161.99","Kotak Mahindra Asset Management Company Limited","100","0","Atul Bhole","1","Allowed","100"
