Name,Ticker,"Sub-Sector","Market Cap","VWAP","% Price above 1Y SMA","Alpha","MACD Line 2 – Signal Line Comp","MACD Line 1 – Trend Indicator","% From Parabolic SAR","% From Lower Bollinger Band","Volatility vs Nifty","Super Trend","% Price above 1M SMA","Sharpe Ratio","RSI Exponential – 14D","200D SMA","Stochastic %D"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1840019.2900303397","1345.23","-5.2642081392098","0.606745830536389","-8.47984090501528","-8.72077903977925","3.1325849514563","4.9941459536721","1.4667521466050923","1420.435714285714","-1.8539972642984002","0.009672001277889","46.0184506799406","1429.9240000000002","14.394510598580398"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1169343.2606485","759.2","-18.875454349671898","-7.29055745177099","-0.041488230095112","-10.4289441923456","-0.0986517592897","1.6400535957398","1.368404465180408","805.7642857142858","-2.0546598188753","-0.072359783184581","39.7756342439261","925.0190000000003","30.30858539566151"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1160404.30227762","1905.03","-2.2804678307854003","24.4609805429806","12.5657653615196","13.3995505507348","0.9090234884041","9.0329149093276","1.4123869330308665","1760.607142857143","3.2390583886816002","0.192994732864398","61.2962814651635","1958.8705000000004","83.60681356461949"
ICICI Bank Ltd,ICICIBANK,"Private Banks","887112.8190763199","1232.54","-10.2405434462466","3.32053079902824","-3.36445631447568","-17.5294922570456","0.609855261018","2.9792308421692","1.295490621734607","1297.8857142857144","-2.9557210476986","0.037287411822673","33.9634365474645","1363.2459999999992","21.917016620694174"
State Bank of India,SBIN,"Public Banks","877739.4262527401","946.2","0.8690929419215","12.2056999626402","-10.9269772024766","-34.3545487036132","-3.2494667274213995","4.5076606743094","1.603674525956049","1010.0571428571429","-8.0956350500767","0.084505858320286","27.3053513723553","976.9119999999998","7.1457285909153825"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","842073.68893932","2332.6","-21.7414928587974","-14.7948570027142","-5.97793321206584","-57.2833029288677","1.5046447729949","4.7918932795022","1.5831569735979758","2406.528571428571","-2.6225063596198","-0.115397856559919","43.5152399345142","2908.0530000000017","36.370903277378034"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","574292.70542025","918.24","-3.3166241780708","5.00737750813775","-3.55692573766741","2.10483955481482","3.6375884136072996","3.9073322743651","2.0504261948253637","972.6321428571428","-0.9097496175831001","0.039403440573597","48.856935348959","961.5144999999997","32.52623083131558"
Larsen and Toubro Ltd,LT,"Construction & Engineering","537992.3385507901","3917.86","2.3855168281188","13.2716947919003","-18.2746359541643","-3.26577830570295","1.5238836967809","1.5283048886693","1.8079295599310636","3856.3214285714284","-1.9427407990613","0.110456028152335","41.8677447544573","3875.780000000001","23.760683760683758"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","519095.19751365995","2212.3","-6.590912133621201","-7.30898818946755","-12.707481500845","4.30999502125997","-0.9060327427674","0.078629883158","1.473747214211921","2159.7","-3.5516042354698","-0.077745230630473","34.4663119986175","2372.3233394525223","15.198406560578933"
Life Insurance Corporation Of India,LICI,"Insurance","506347.690953555","801.45","-7.9896964090984","6.02602021684738","-0.678266841450581","-1.58103532046198","2.9381509579529","2.163272705137","1.776814143515228","822.0892857142857","-0.41857659080869997","0.035334655825161","50.3462887210406","855.0282499999998","48.79383041788021"
Infosys Ltd,INFY,"IT Services & Consulting","483047.29062591","1195.37","-19.1974247149064","-5.86859478639824","7.12398527187103","-28.9230409967038","4.1532152517233","9.2357720085226","1.8622474238149969","1087.0857142857144","2.1190319351886","-0.042118107083472","58.9107061953359","1449.075999999999","79.30155139545076"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","451146.9544091","1881.48","10.325059648170901","20.0312227725975","6.71807225449254","41.6322269991299","-1.6064887493459","13.6910501700254","1.4769775973993486","1775.1785714285713","3.9761777708962995","0.125972231611517","63.1786945485515","1709.7804999999994","84.45965657422671"
Adani Power Ltd,ADANIPOWER,"Power Generation","424726.11618292","219","52.438982186012595","49.6155351414628","-2.80785341413808","9.28972705079963","-3.8253275109170004","5.139843239755","3.008822218333486","206.40928571428574","-0.27936628678290004","0.181825753736013","53.8313666101941","151.98965000000004","43.66072557198839"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","408817.6669722","12946.82","-9.615222067259701","6.82261254235051","-47.3856532389608","-74.4809723413","0.7984496124031","1.9529532581443","1.7219743786656527","12562.357142857143","-2.0426919991111","0.045850024660453","38.6900170304529","14852.935","15.41056605849805"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","408399.78971147997","1765.69","21.6686965374322","24.7710549476914","-2.57742346193692","68.3476033546463","-2.812654202533","12.811665555489702","2.0261052616800113","1616.9785714285717","3.7970903320441","0.145481123345437","61.9412534362427","1465.5209999999986","78.18875678849254"
Axis Bank Ltd,AXISBANK,"Private Banks","388638.42215172003","1244.45","2.1900293013433","4.45488537973772","-5.58265676208457","-15.712195633683","2.2665902953932","4.1105014254717","1.6916259271942984","1309.8785714285714","-2.7260521860953997","0.042930476091361","38.9334447122387","1232.8490000000002","22.239997706603138"
ITC Ltd,ITC,"FMCG - Tobacco","385343.795444405","307.47","-18.020289278690598","-12.3342480511528","0.051238270383941","0.864938606399107","-1.5209734229907002","2.5568974144654","1.4397753400981126","298.8357142857143","-0.0747287023198","-0.125369123164956","49.4979327569485","363.87424999999973","51.87265917602997"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","381150.2237304","381.44","-6.7477448626087","-4.54440225198651","0.99373603786854","1.79893226346587","1.6478840900053","4.0879876408435","1.5100435789051003","359.49285714285713","1.1101802806124","-0.046948088986638","53.3508292072108","406.6995999999999","74.75247524752471"
NTPC Ltd,NTPC,"Power Generation","380545.66242883","389.53","12.5936152290719","23.254552385347","-1.81046512532362","1.07763720100144","1.657816345033","1.5802362232268001","1.3111124534975092","382.8178571428571","-1.4050007222846999","0.153555114735496","46.7271953553558","351.3367500000001","23.19325859355283"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","375991.59436953","2700.42","17.4576292552069","-0.600047937249964","13.8476130290268","144.121391400683","0.2892102335929","22.8747143736513","2.4298042433772773","2411.307142857143","8.4601134003256","0.011943813782369","71.8252775011947","2259.8107000000005","79.7706248847327"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","375269.72871497995","298.98","17.7484816643154","18.1077646192384","0.480540961569136","3.96273080725638","-2.0354813496312003","7.876727294967199","1.5795416479329425","302.13928571428573","2.2538349472962","0.095006764712458","61.1183969574546","255.50429999999994","65.97950603127498"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","374901.99406607996","583.6","-7.4049579600359","23.133277611121","-11.6233029585777","-12.6334158746381","1.5349593495934999","4.8996377266563","1.9834754965627879","3041.885714285714","-1.0775582106387","0.148983652705531","44.970971458642","3435.4269999999997","15.889013081636016"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","364256.2655664","4088.51","6.8747667384821005","9.10905115143083","-31.8827577982867","-55.8418649807873","-2.0886981402002998","2.5334847017882","1.6982302168050842","4382.15","-4.4485501142504","0.067265530818852","35.9917701630248","3920.498999999998","22.73484970694196"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","335618.1365715","11338.18","-4.9626981297419","7.05465133737196","-67.6955626000949","-53.800651812815","1.38629698747","1.0923226885108999","1.6416321141608161","12112.928571428572","-3.3078233454526997","0.068626024763081","36.9096960059508","12043.98","19.93114717648655"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","319303.1106288","1274.06","13.128195615859301","15.1555134984169","-1.40686048061758","17.2428948639047","0.0389802759803","2.8634493809734","1.7304207781102912","1216.5928571428572","0.782256291037","0.127102247868893","55.3157415457956","1163.813","60.50830889540572"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","316520.59020372","1172.81","-22.9957028205506","-2.0401593332274","3.97378943995877","-52.5053121318713","1.5451388888889","5.5363393300564","1.8607202180681173","1205.2857142857144","-1.6871520117660002","-0.015025883440835","43.8761700389736","1485.4340000000004","54.171040241091696"
Bharat Electronics Ltd,BEL,"Electronic Equipments","302113.15900257","411.96","0.3248846494431","40.1941534076267","-2.07928064628312","-4.6776896400624","-0.3135552339604","-0.2379433899463","1.9114744049562087","450.8714285714285","-4.5452445840455","0.205160576224174","29.4654073989608","414.76574999999997","28.937115346436347"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","292188.05065125","10368.72","15.3151528684899","23.0114766163443","-14.388429794876","219.096997693439","3.1499556344277","12.2267871213669","1.6207180961865615","9594.607142857143","3.4938126279761996","0.145081472753122","60.9154851239341","9219.7125","65.29137529137529"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","289345.50375","4299.87","-4.2217519806273005","31.246126887622","-53.5053857989744","66.5580803367347","-9.0866254656597","4.462347788409899","1.9016067406910306","4810.05","-3.4863371765543003","0.147645724385866","34.1794561129247","4414.354999999999","23.247139472755663"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","283255.6730636","1761.62","-10.1256536684964","1.8598670054278","-2.30521137632534","-11.0583412631181","4.6168378793246","3.6551066004148","1.6140168130443944","1834.6928571428573","-0.2358981865679","0.019410165464094","52.4231818341172","1960.4605000000004","41.39922978177152"
Coal India Ltd,COALINDIA,"Mining - Coal","282684.34835949","457.56","12.529401894085401","20.5569017803437","-1.55490396027766","2.19257278968564","1.6059364270683","3.4553002828464","1.5851099089203602","445.675","-0.9415626484689","0.096160614882509","46.4470964290195","411.4347499999999","19.597989949748765"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","278925.10853181","298.09","4.314639945794","13.7149451622563","-2.51741434441747","-2.0341302639182","1.8163299949075","1.5047957970264","1.517031937216442","317.36071428571427","-3.8389085283249","0.090190447736788","34.5014524472771","285.7302499999999","24.18397626112765"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","273839.9165832","1415.49","13.950361582366899","6.27711891674668","-12.7180998649463","33.8606647143067","0.1410337775897","1.7719783486226","1.5217371179897992","1402.9999999999998","-1.9985369825956","0.031849837491551","37.0194932730781","1257.2892499999996","23.309545597425824"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","270269.71868064","4153.61","-0.1598136817627","3.93265133896403","-43.9526057783207","-16.2852939685617","-5.4034312427527","-0.7222685486836","1.808623152375846","4452.457142857143","-6.0134645543396","0.015263053986258","20.7910166217299","4151.922499999999","7.428136758714448"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","266385.236355","624.95","21.0104647323931","25.1771228515992","-1.69588171215298","16.9686717559272","0.7752557544757","8.2515377719499","2.8250846507550036","612.5607142857143","0.8219922918232","0.090003008824501","49.3866401045761","537.0917500000005","52.51141552511417"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","258421.586430241","204.85","15.915621983259602","17.2916172797114","-1.31062065541267","1.62896338150736","-0.9047391096218","0.2679541935838","1.9716420130643237","206.65","-2.9911946502463","0.116916011525273","35.1237078045264","183.45904999999996","21.52699145448031"
Asian Paints Ltd,ASIANPAINT,"Paints","249113.3064987","2600.3","4.3138719546218","-9.52612342920288","1.92062174224563","60.7570560946137","1.6666666666667","8.173150819238801","1.745054198532039","2417.7928571428574","2.5758434007211997","-0.075216790715001","60.9900154967696","2532.2179999999994","78.13466571496552"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","242734.4307284","1080.72","31.917143152278797","29.3534549770982","-2.31941414907675","21.7526026824928","4.6668595121011","6.5180863413757","1.981872951927939","1005.2642857142856","2.8427420309901996","0.166381281289493","60.9859877081321","862.1442499999997","48.49215922798546"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","224543.0534496","1361.62","34.3990876005601","11.8810851226566","-8.07597612450762","82.1912990492694","3.8707711063700003","15.7521881427516","3.0029807442961594","1228.757142857143","3.8126316029959","0.050854098857952","57.9082761766822","1016.5989999999998","62.23593194989718"
Eternal Ltd,ETERNAL,"Online Services","223724.172283786","243.96","-13.5665003731693","42.6128478134922","-1.14116564122041","-1.10820501558021","1.9438625890239","3.1349283497035003","2.446607891201525","236.39500000000004","-2.7062254981338003","0.16840319088437","44.9552199337994","287.92719999999997","34.48095736346076"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","217272.13880196","919.67","13.4558977286214","36.1156140680558","-5.6003980516428","-16.4303841151377","-1.9536019536019003","3.3557446204067","2.4658286727368224","1005.3892857142857","-4.4247970792872","0.188224435036024","34.0824198605465","850.7490000000001","21.940928270042253"
Wipro Ltd,WIPRO,"IT Services & Consulting","206682.456642816","196.45","-17.2396188454524","-3.8954522208091","-0.13052488170325","-2.31240050621321","5.1142744459478005","5.344608891057","1.7069716979982685","199.3257142857143","-0.0864207855928","-0.025568634679075","57.4328022898412","233.0671000000002","46.237976725109924"
Grasim Industries Ltd,GRASIM,"Cement","201515.67663226998","2933.86","6.968325192349201","13.5032494807549","1.71697769163085","58.6883476115595","2.977263274643","9.6049550492166","1.5278992293673972","2771.278571428571","3.2766912249051","0.119958636069342","68.4969702480768","2793.536999999999","79.56950885955517"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","194929.574638932","136.23","-9.8256585849448","9.69638969658683","-0.56092103283787","-2.82340299822042","-4.2384793473763995","3.8007543027968","1.8510732360588693","145.30642857142854","-2.7164548308779","0.063187873821754","46.4154378451947","154.93325000000002","23.548215237080417"
