Name,Ticker,"Sub-Sector","Market Cap","50D EMA","100D EMA","100D SMA","10D EMA","200D EMA","10D SMA","50D SMA","1Y Max Loss"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1840019.2900303397","1384.3271671613047","1403.865471273708","1415.7580000000003","1362.86751432498","1412.8978358376664","1369.89","1377.2720000000002","45.08799071746278"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1169343.2606485","802.3733801519579","846.670418660383","864.9879999999997","766.9894417097962","886.8652704266409","766.8249999999999","791.429","41.054975429975435"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1160404.30227762","1865.4119444367252","1901.510593317753","1927.9769999999999","1872.5507155811388","1907.0048520111447","1851.2300000000002","1838.2740000000003","47.469155976795484"
ICICI Bank Ltd,ICICIBANK,"Private Banks","887112.8190763199","1291.6501508904664","1318.3970600164444","1332.6499999999996","1251.5881594874668","1338.0700692117587","1250.58","1281.0100000000002","48.307244266472516"
State Bank of India,SBIN,"Public Banks","877739.4262527401","1045.276072263058","1039.8565852256943","1066.8434999999997","980.702925934492","990.6715390434101","981.18","1052.813","59.49248120300752"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","842073.68893932","2485.53900741197","2652.595165898396","2735.9229999999993","2329.5862795799","2888.1974586223578","2320.95","2442.2879999999996","50.678012626955805"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","574292.70542025","923.2618818230465","935.5662178518397","938.6290000000004","923.6965238472009","935.4735062061662","925.4849999999999","901.7769999999998","62.52433152340948"
Larsen and Toubro Ltd,LT,"Construction & Engineering","537992.3385507901","3935.292796278623","3924.096161539641","3954.7539999999985","3936.7316908194157","3860.698138927604","3930.8899999999994","3848.8020000000006","55.645363408521305"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","519095.19751365995","2250.550149864946","2277.082386898676","2280.3070000000002","2255.3159700137567","2320.3274542146664","2261.37","2202.6819999999993","31.113499398873774"
Life Insurance Corporation Of India,LICI,"Insurance","506347.690953555","806.1767118805976","821.1166922085736","820.6329999999996","799.3708071562553","842.1574458843822","797.905","794.4650000000003","39.31077765732869"
Infosys Ltd,INFY,"IT Services & Consulting","483047.29062591","1247.6887708454676","1333.3760961039768","1390.2810000000004","1162.6480530808058","1426.1004241777289","1152.94","1239.8599999999997","45.24178626794019"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","451146.9544091","1778.9114902209708","1752.9245305922695","1737.318","1859.538477819152","1730.5223025708667","1863.53","1770.6519999999996","61.758293559601675"
Adani Power Ltd,ADANIPOWER,"Power Generation","424726.11618292","193.58540400596877","174.71539785145745","163.88909999999998","219.81506395201217","156.9665855882917","220.55","185.04979999999995","67.78034682080924"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","408817.6669722","13492.609724364615","13992.065128632754","14396.81","13162.603334395055","14153.104164256609","13252.5","13166.46","59.20141978855729"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","408399.78971147997","1601.7080856372293","1538.385576003325","1507.0929999999998","1752.0665257478768","1478.3817648198094","1757.81","1537.1900000000005","53.693593314763234"
Axis Bank Ltd,AXISBANK,"Private Banks","388638.42215172003","1284.6795736171296","1279.3907999158653","1295.5700000000004","1257.1301089663261","1248.863925045236","1257.4499999999996","1274.9939999999997","63.156295576081675"
ITC Ltd,ITC,"FMCG - Tobacco","385343.795444405","309.71359436969766","324.77697807674883","320.3740000000001","307.9954583171993","351.6729028278297","307.05000000000007","303.88800000000003","57.00749976852566"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","381150.2237304","383.49296322429325","393.16399927999953","399.8072000000001","382.4156297080194","400.5173977343285","382.21","376.029","36.49898814686326"
NTPC Ltd,NTPC,"Power Generation","380545.66242883","386.4588914451026","374.01576284028107","369.905","393.404098900798","361.1972306331703","394.03000000000003","386.99","50.801725803335685"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","375991.59436953","2318.517307540684","2253.511367168133","2178.5009999999993","2613.952279112389","2271.9112943611535","2597.15","2193.3179999999998","71.34653386888283"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","375269.72871497995","284.08548153940825","273.8532473354979","269.4317000000001","294.875630946561","263.5300764348037","292.8","282.8589999999999","71.54375148209627"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","374901.99406607996","3202.6832307272284","3287.8940121590776","3354.3490000000006","3146.147112002706","3306.985142609244","3183","3141.9","72.65843370432485"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","364256.2655664","4247.666216120838","4160.458989395703","4190.709","4182.441796558139","3984.1418347707204","4185.05","4248.162","41.730020734058414"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","335618.1365715","11725.245922677508","11829.423326271626","11962.4","11594.893941249162","11861.047802275803","11656.8","11492.28","37.656087005918145"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","319303.1106288","1238.72136915347","1210.9218525395418","1208.952","1279.1447668071621","1164.8436498805702","1278.79","1217.76","66.26303800503537"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","316520.59020372","1299.239551233578","1388.513417229927","1448.889","1169.3798221206855","1468.438866817677","1161.81","1307.1019999999999","43.66197183098591"
Bharat Electronics Ltd,BEL,"Electronic Equipments","302113.15900257","433.0176124598112","428.4526018720325","430.3974999999998","425.7247885518923","411.1566614340501","427.12","435.80299999999994","69.07936507936508"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","292188.05065125","9838.050420679536","9602.256270761814","9600.34","10308.754382019706","9329.115155530075","10426.55","9623.21","43.28806457756486"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","289345.50375","4295.754850097263","4284.326254162538","4226.624","4453.694613721525","4335.862928002387","4549.789999999999","4154.857999999999","58.29838330751962"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","283255.6730636","1803.4568013642704","1861.8126626714384","1888.7210000000005","1761.912238801953","1906.0927557763553","1765.39","1770.1380000000001","58.58928878243028"
Coal India Ltd,COALINDIA,"Mining - Coal","282684.34835949","452.34967645088375","439.0951649494881","438.8349999999999","460.7674431633618","423.86119681570574","460.68","454.776","68.21449108683152"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","278925.10853181","304.016555896393","296.6771435098547","290.551","304.26592188627137","291.75088788304873","304.91","305.242","36.20771046420141"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","273839.9165832","1360.0918528140655","1316.852522614442","1305.7030000000004","1441.7925741317808","1276.0216294450322","1455.1100000000001","1314.7979999999998","22.879952338397377"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","270269.71868064","4259.391948853054","4157.193612117047","4017.703000000001","4308.840536071944","4120.440064524105","4322.9400000000005","4235.154000000001","39.31721061281991"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","266385.236355","601.4604775826148","583.8230090722616","603.5499999999997","635.6878961011463","553.0552172475682","641.635","580.4649999999998","62.21787541378272"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","258421.586430241","206.7837420771722","198.88235016052326","198.39400000000006","212.44255592974594","187.01722169781465","213.92600000000002","204.1996","66.00133958472874"
Asian Paints Ltd,ASIANPAINT,"Paints","249113.3064987","2464.40517185151","2472.540679980323","2479.425","2577.976519990239","2496.242211973079","2586.08","2377.6880000000006","40.68450633336129"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","242734.4307284","1005.003446817448","955.7601973242263","957.6584999999999","1061.6687953361456","882.807685588511","1059.58","987.5859999999999","68.58470335954253"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","224543.0534496","1163.4636138974174","1081.3151489118766","1017.6439999999998","1355.464077665175","1053.5019605298985","1368.71","1084.654","84.44032991078943"
Eternal Ltd,ETERNAL,"Online Services","223724.172283786","249.39625769006167","258.93039574612243","259.3444","245.34184615628814","267.0354447764013","245.64300000000003","241.55779999999996","74.0174672489083"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","217272.13880196","973.6677990167959","953.9985857336462","996.0234999999999","943.6820357040407","881.9926186500896","950.7850000000001","975.6199999999997","72.4196013599925"
