Name,Ticker,"Sub-Sector","Market Cap","Additional Paid–in Capital","Investing Cash Flow","Net Change in Cash","Total Liabilities","Loans & Advances","Financing Cash Flow","Long Term Investments","Total Cash Dividend Paid","Reserves & Surplus","Capital Expenditure","Net Property,Plant & Equipment","Operating Cash Flow"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1840019.2900303397","93104","-137535","9277","940087",,"-31891","123672","7180","736564","139967","1151837","178703"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1169343.2606485","134117.36","-3650.91","21113.39","3861836.7800000003","2724938.16","-102477.54","1186472.89","14826.19","386906.81","4075.89","15257.94","127241.84"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1160404.30227762","71557.6","-60198","1601","351537.79999999993",,"-36533.2","4185.1","6934.9","38447.29999999999","39679.9","229077.8","98332.2"
ICICI Bank Ltd,ICICIBANK,"Private Banks","887112.8190763199","60613.28","-77139.93","51254.56","2319678.8499999996","1420663.71","5589.23","886376.81","7041.27","251868.03","4770.01","24271.85","122805.26"
State Bank of India,SBIN,"Public Banks","877739.4262527401","79115.6","-3386.58","31360.629999999997","6824634.070000001","4250830.74","-13739.08","2205601.11","12226.72","407028.69999999995","5637.22","47757.37","48486.29"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","842073.68893932","0","-11886","-1925","72689",,"-42133","218","39571","106878","4146","24809","52094"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","574292.70542025","28281.33","-2765.02","-392.0500000000029","367189.94000000006","407844.14","70527.44","34440.84","2225.24","68287.37","1081.82","3818.1899999999996","-68154.47"
Larsen and Toubro Ltd,LT,"Construction & Engineering","537992.3385507901","138.43","-15488.83","228.4999999999991","263710.41000000003",,"6556.62","11444.65","3849.57","97242.13","4418.83","23132.809999999998","9160.71"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","519095.19751365995","40346","6473","5258","30254",,"-13101","59","12473","8821","1275","9730","11886"
Life Insurance Corporation Of India,LICI,"Insurance","506347.690953555","17.12","40831.7","27892.649999999998","5533064.799999999","0","-3794.28","5298429.46","0","120884.27","776.73","21656.39","-9144.77"
Infosys Ltd,INFY,"IT Services & Consulting","483047.29062591","280","3546","-2254","60991",,"-39786","8930","18656","90548","2727","21962","33986"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","451146.9544091","1187.41","-5183.15","983.1200000000008","19422.190000000013",,"-7905.82","4697.7","3617.3","70790.68","2128.58","20290.82","14072.09"
Adani Power Ltd,ADANIPOWER,"Power Generation","424726.11618292","7409.83","-17142.05","-816.3899999999985","55105.429999999986",,"-5175.45","59.51","840.07","39161.71","11559.04","81197.34999999999","21501.11"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","408817.6669722","13258.4","-14456.1","-2475","35731.3",,"-4155.1","57927.8","3930","82824.3","10640.6","40911.700000000004","16136.2"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","408399.78971147997","9747.36","-9787.53","523.2299999999977","68319.93",,"-6915.52","3907.57","1336.28","52089.47","8048.92","87938.70999999999","17226.28"
