Name,Ticker,"Sub-Sector","Market Cap","Expense Ratio","Tracking Error","EBITDA","Net Income","Payout Ratio","Earnings Per Share","Taxes & Other Items","Dividend Per Share","PBIT","Interest & Other Items","Total Revenue","Depreciation & Amortization","PBT","Power & Fuel Cost","Raw Materials"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1840019.2900303397",,,"207911","80775","0.10051934997487016","59.69","42387","6","150223","27061","1086181","57688","123162",,
HDFC Bank Ltd,HDFCBANK,"Private Banks","1169343.2606485",,,"102141.45000000001","76025.97","0.31313131313131315","49.5","26115.480000000003","15.5","102141.45000000001",,"495462.81","0","102141.45000000001",,
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1160404.30227762",,,"119438.8","26695.199999999997","0.5221932114882506","45.96","18477.5","24","66728","21555.3","214154.6","52710.8","45172.7",,
ICICI Bank Ltd,ICICIBANK,"Private Banks","887112.8190763199",,,"77057.32999999996","53944.84999999996","0.15812359994729214","75.89","23112.48","12","77057.32999999996",,"312118.36","0","77057.32999999996",,
State Bank of India,SBIN,"Public Banks","877739.4262527401",,,"114027.97999999998","81801.57999999999","0.19032470381746383","91.16","32226.399999999998","17.35","114027.97999999998",,"712643.53","0","114027.97999999998",,
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","842073.68893932",,,"72274","49210","0.8087576244259296","136.01108252683235","16277","110","66714","1227","271423","5560","65487","0","43"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","574292.70542025",,,"26825.630000000005","19017.390000000007","0.19607843137254902","30.6","6799.26","6","25816.650000000005",,"82005.96","1008.98","25816.650000000005",,
Larsen and Toubro Ltd,LT,"Construction & Engineering","537992.3385507901",,,"40184.71999999997","16083.989999999972","0.324980757718293","116.93","9891.82","38","35819.96999999997","9844.16","291635.04","4364.75","25975.809999999972",,
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","519095.19751365995",,,"19962","15040","0.6405249179815653","64.01","3179","41","18629","410","69626","1333","18219",,
Life Insurance Corporation Of India,LICI,"Insurance","506347.690953555",,,"56773.45000000007","48320.33000000007","0.15707671327161857","76.3957925402315","7946.65","12","56266.98000000007",,"893465.16","506.47","56266.98000000007",,
Infosys Ltd,INFY,"IT Services & Consulting","483047.29062591",,,"45313","29440","0.6677077451086957","71.88773883727545","10555","48","40411","416","182972","4902","39995","223","0"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","451146.9544091",,,"16558.880000000005","10929.040000000005","0.3512601245855078","45.55028846180659","2823.09","16","13983.490000000005","231.36","54729.01","2575.39","13752.130000000005","750.4","10597.05"
Adani Power Ltd,ADANIPOWER,"Power Generation","424726.11618292",,,"23430.869999999995","12834.299999999996","0","6.62","2665.21","0","18866.339999999997","3366.83","57865.28","4564.53","15499.509999999997",,
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","408817.6669722",,,"26098.900000000023","14679.500000000022","0.29985007496251875","466.9","4439","140","19357.200000000023","238.7","187958.7","6741.7","19118.500000000022",,
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","408399.78971147997",,,"25019.920000000006","12806.210000000005","0.12879958784131892","58.23","2042.3500000000001","7.5","19502.540000000005","4653.98","41111.98","5517.38","14848.560000000005",,
Axis Bank Ltd,AXISBANK,"Private Banks","388638.42215172003",,,"32293.47","26330.760000000002","0.011759172154280339","85.04","5962.71","1","32293.47",,"162211.95","0","32293.47",,
ITC Ltd,ITC,"FMCG - Tobacco","385343.795444405",,,"43634.329999999994","34746.63","0.5309281168532748","27.02814099402031","7196.32","14.35","41988.009999999995","45.06","92979.45999999999","1646.32","41942.95","975.35","32704.37"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","381150.2237304",,,"25992.72","19180.620000000003","0.033505154639175264","19.4","6812.1","0.65","25992.72",,"107931.49","0","25992.72",,
NTPC Ltd,NTPC,"Power Generation","380545.66242883",,,"62881.29999999999","23422.459999999985","0.3456817183972138","24.15516805087515","8775.87","8.35","45480.109999999986","13281.78","196847.13999999998","17401.19","32198.329999999987","117037.69",
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","375991.59436953",,,"25679.119999999995","9339.469999999998","0.01718213058419244","75.66","4185.19","1.3","19543.779999999995","6019.12","112158.61","6135.34","13524.659999999996",,
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","375269.72871497995",,,"102138.78000000012","36225.600000000115","0.4254130504394669","28.795543501416592","16172.26","12.25","66932.81000000011","14534.95","625494.54","35205.97","52397.86000000012","5411.75","221401.9"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","374901.99406607996",,,"42097.630000000005","17098.850000000002","0.21554539516655782","153.1","8085.91","33","34775.61","9590.85","204049.25","7322.02","25184.760000000002",,
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","364256.2655664",,,"8807","5073","0.2622836160167862","57.19","1728","15","7981","1180","88137","826","6801",,
UltraTech Cement Ltd,ULTRACEMCO,"Cement","335618.1365715",,,"17443.36","8165.640000000002","0.8644910309055543","277.62","2761.55","240","12798.900000000001","1871.71","89089.04","4644.46","10927.190000000002",,
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","319303.1106288",,,"47953","22316","0.0776550366400525","91.43","6934","7.1","38352","9102","204077","9601","29250",,
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","316520.59020372",,,"27326","16642","0.8786202408070289","61.46","5460","54","22971","869","131674","4355","22102",,
Bharat Electronics Ltd,BEL,"Electronic Equipments","302113.15900257",,,"8615.36","6062.000000000001","0.3015681544028951","8.29","1990.96","2.5","8059.6900000000005","6.73","28176.14","555.67","8052.960000000001",,
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","292188.05065125",,,"15764.820000000007","10744.210000000006","0.38961038961038963","385","3207.33","150","15120.130000000006","1168.59","65647.96","644.69","13951.540000000006",,
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","289345.50375",,,"13512.579999999998","9115.599999999997","0.2567865003668378","136.3","3036.33","35","12157.719999999998","5.79","36831.57","1354.86","12151.929999999997",,
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","283255.6730636",,,"28174.509999999995","9800.969999999994","0.024469820554649267","61.3","17082.18","1.5","26883.149999999994",,"150546.84","1291.36","26883.149999999994",,
Coal India Ltd,COALINDIA,"Mining - Coal","282684.34835949",,,"53276.020000000004","31094.29","0.5301228695996829","50.46","10828.800000000001","26.75","43139.350000000006","1216.26","180434.32","10136.67","41923.090000000004",,
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","278925.10853181",,,"36023.9","15927.95","0.788091068301226","17.13","-1381.3099999999995","13.5","22994.22","8447.58","47684.43","13029.68","14546.640000000001",,
Nestle India Ltd,NESTLEIND,"FMCG - Foods","273839.9165832",,,"5421.669999999998","3499.079999999998","0.6611570247933884","18.15","1065.05","12","4722.439999999999","158.31","23315.73","699.23","4564.129999999998",,
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","270269.71868064",,,"5260.689999999995","2970.4899999999943","0","45.65","1111.1299999999999","0","4223.669999999995","142.05","68894.84","1037.02","4081.6199999999944",,
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","266385.236355",,,"23179","13832","0.6414172266340867","32.74","4676","21","19389","881","41959","3790","18508",,
Tata Steel Ltd,TATASTEEL,"Iron & Steel","258421.586430241",,,"35090.26000000001","10793.870000000006","0.4624277456647399","8.65","5174.82","4","23135.750000000007","7167.06","235145.37","11954.51","15968.690000000006",,
Asian Paints Ltd,ASIANPAINT,"Paints","249113.3064987",,,"6356.430000000002","3667.2300000000014","0.6486668464208679","38.232260731126175","1435.84","24.8","5330.090000000002","227.02","34618.94","1026.34","5103.0700000000015","148.58","17504.51"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","242734.4307284",,,"33637","16001","0.07023858411974251","71.18594519895241","6336","5","25756","3419","241207","7881","22337","14396","147276"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","224543.0534496",,,"11440","1652","0","9.65","-68","0","8068","6484","13819","3372","1584",,
Eternal Ltd,ETERNAL,"Online Services","223724.172283786",,,"2604","366","0","0.4","249","0","1007","392","55760","1597","615",,
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","217272.13880196",,,"13998.54","10024.160000000002","0.2026646650403453","53.29","3275.48","10.8","13299.640000000001",,"48192.65","698.9","13299.640000000001",,
Wipro Ltd,WIPRO,"IT Services & Consulting","206682.456642816",,,"21710.59999999999","13197.39999999999","0.873015873015873","12.6","4144.8","11","18799.89999999999","1457.7","96523.4","2910.7","17342.19999999999",,
Grasim Industries Ltd,GRASIM,"Cement","201515.67663226998",,,"37342.56","4966.479999999998","0.13659336156262808","73.21","9506.27","10","29616.62","15143.87","176800.3","7725.94","14472.749999999998",,
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","194929.574638932",,,"84200.19999999995","42096.25999999995","0.04088976120379457","30.57","15375.82","1.25","65779.95999999995","8307.88","791553.98","18420.24","57472.07999999995",,
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","187891.5140298",,,"6716.739999999998","4734.439999999998","0.4050941579151919","172.79933228426066","1198.6299999999999","70","5987.409999999998","54.34","20875.059999999998","729.33","5933.069999999998","89.53","10470.09"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","187011.23867321998",,,"2696.8499999999913","2470.299999999991","0.10957792207792208","24.64","226.55","2.7","2696.8499999999913",,"114263.31","0","2696.8499999999913",,
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","182987.492194",,,"3321","2191","0.3634896120492926","82.5333077082041","725","30","2919","3","9712","402","2916","465","3890"
Varun Beverages Ltd,VBL,"Soft Drinks","173850.0218016",,,"5422.09","3036.4900000000002","0.16705551728311308","8.979050943034185","973.16","1.5","4205.63","195.98","22037.72","1216.46","4009.65","636.56","9706.52"
BSE Ltd,BSE,"Stock Exchanges & Ratings","171823.18862322",,,"3470.05","2496.98","0.1649892756970797","60.61","814.11","10","3311.09","0","5225.47","158.96","3311.09",,
Interglobe Aviation Ltd,INDIGO,"Airlines","164889.47876708",,,"21397.399999999998","7258.399999999997","0.053207460184062624","187.94356966873843","335","10","12717.199999999997","5123.8","84098.2","8680.2","7593.399999999997","26197.3","383.4"
Solar Industries India Ltd,SOLARINDS,"Commodity Chemicals","164782.390155",,,"2750.0599999999995","1677.5499999999997","0.059334376179944984","185.39","687.6700000000001","11","2499.1899999999996","133.97","9965.99","250.87","2365.22",,
Adani Energy Solutions Ltd,ADANIENSOL,"Power Infrastructure","161704.65643961998",,,"8725.970000000001","2282.5400000000013","0","19","832.3000000000001","0","6747.740000000002","3632.9","28325.16","1978.23","3114.8400000000015",,
TVS Motor Company Ltd,TVSMOTOR,"Two Wheelers","161624.68881593",,,"8324.199999999997","3018.3299999999963","0","63.53","1803.41","0","7051.559999999997","2229.82","56091.53","1272.64","4821.739999999996",,
Hitachi Energy India Ltd,POWERINDIA,"Heavy Electrical Equipments","158343.3195575",,,"661.9399999999993","383.9799999999992","0.0679363805406533","88.31792262482374","132.41","6","570.5899999999992","54.2","6442.1","91.35","516.3899999999992","63.92","3689.51"
ICICI Prudential Asset Management Company Ltd,ICICIAMC,"Asset Management","155068.6680648",,,"4512.35","3298.26","0.1858234677056796","66.73","1108.5800000000002","12.4","4406.84",,"6000.92","105.51","4406.84",,
Jio Financial Services Ltd,JIOFIN,"Consumer Finance","154955.92446694098",,,"1941.1","1560.8999999999999","0.24896265560165973","2.41","350.76","0.6","1911.6599999999999",,"3894.59","29.44","1911.6599999999999",,
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","149904.2542848",,,"3720.050000000001","1911.2500000000014","0.5666581598430342","56.47143598684625","761.56","32","2925.1200000000013","252.31","11539.36","794.93","2672.8100000000013","137.34","3050.82"
Cummins India Ltd,CUMMINSIND,"Industrial Machinery","149674.14",,,"2793.730000000002","1999.9400000000019","0.7138114143424296","72.14790764790772","592.87","51.5","2608.6600000000017","15.85","11104.380000000001","185.07","2592.8100000000018","32.09","6611.42"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","148147.37965488",,,"3769.1000000000004","2448.9200000000005","0.8932280847528044","24.07","871.25","21.5","3374.3900000000003","54.22","14867.01","394.71","3320.1700000000005",,
Vodafone Idea Ltd,IDEA,"Telecom Services","147129.84153135802",,,"78151","34552","0","3.21","-4","0","56043","21495","104021","22108","34548",,
Trent Ltd,TRENT,"Retail - Apparel","145746.30413539",,,"3766.0200000000004","1719.6500000000005","0.12404382881951624","48.37","516.8299999999999","6","2404.8300000000004","168.35","20192.95","1361.19","2236.4800000000005",,
