Name,Ticker,"Sub-Sector","Market Cap","Operating & Other expenses","Employee Cost","Selling & Administrative Expenses","Net Income (Q)","Total revenue (Q)","EPS (Q)","EBITDA (Q)","Operating and Other Expenses (Q)","PBIT (Q)","PBT (Q)"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1840019.2900303397","878270",,,"16971","298506","12.54","48588","249918","33780","27195"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1169343.2606485","393321.36",,,"20350.760000000006","116919.94","13.22","27671.630000000005","89248.31","27671.630000000005","27671.630000000005"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1160404.30227762","94715.8",,,"7325.0999999999985","56346.1","12.53","29293.8","27052.3","15650.3","10044.699999999999"
ICICI Bank Ltd,ICICIBANK,"Private Banks","887112.8190763199","235061.03000000003",,,"14686.290000000006","84613.66","20.62","20744.210000000006","63869.45","20744.210000000006","20744.210000000006"
State Bank of India,SBIN,"Public Banks","877739.4262527401","598615.55",,,"19296.18999999998","181079.02","21.28","26075.50999999998","155003.51","26075.50999999998","26075.50999999998"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","842073.68893932","19678","154994","24434","13718","71455","37.92","20033","51422","18627","18362"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","574292.70542025","55180.33",,,"5464.569999999998","21616.71","8.79","7665.359999999999","13951.35","7409.839999999998","7409.839999999998"
Larsen and Toubro Ltd,LT,"Construction & Engineering","537992.3385507901","251450.32",,,"5325.599999999993","84409.4","38.71","12066.259999999995","72343.14","10898.309999999994","8410.279999999993"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","519095.19751365995","49664",,,"2992","16862","12.73","4340","12522","3992","3916"
Life Insurance Corporation Of India,LICI,"Insurance","506347.690953555","5425.199999999953","26946.68","804319.83","12930.439999999988","236776.3","20.44","13188.049999999988","223588.25","13188.049999999988","13188.049999999988"
Infosys Ltd,INFY,"IT Services & Consulting","483047.29062591","35540","95094","6802","8501","47561","21.01","12326","35235","10902","10797"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","451146.9544091","4626.64","9973.12","12222.92","3368.809999999999","16099.38","14","5037.8499999999985","11061.53","4305.519999999999","4227.159999999999"
Adani Power Ltd,ADANIPOWER,"Power Generation","424726.11618292","34434.41",,,"4017.0799999999995","15989.09","2.08","6498.469999999999","9490.62","5351.24","4383.98"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","408817.6669722","161859.8",,,"3658.9999999999995","53043.7","116.38","6739.5","46304.2","4991.4","4918.4"
