Name,Ticker,"Sub-Sector","Market Cap","EV / Free Cash Flow","Enterprise Value","Price / CFO","PB Premium vs Sub-sector","Dividend Yield vs Sub-sector","Price / Sales","Sector PB","Sector Dividend Yield","Sector PE","TTM PE Ratio"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1840019.2900303397","55.64713160962257","2155547.2900303397","10.296521547094004","8.027214903433633","-0.25765494052772386","1.6940264007843442","1.563059186252215","1.202929143117296","12.83380464070356","22.779564098178145"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1169343.2606485","7.597508894694515","935754.4006485","9.189927312026454","2.8686391090553034","0.9845465309200518","2.360102992691823","2.291066253952224","1.0648908826242334","15.782900266071515","15.380839740005944"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1160404.30227762","23.79223154552541","1395469.10227762","11.80085772796317","-62.291838310816146","0.13630889560133608","5.418535498549272","8.560593958157467","1.1816713015722953","31.760915159046945","43.46864988003911"
ICICI Bank Ltd,ICICIBANK,"Private Banks","887112.8190763199","5.828141161867492","687926.09907632","7.223736337322359","27.75145593313262","-0.08068273775112744","2.8422320913012613","2.291066253952224","1.0648908826242334","15.782900266071515","16.444810191822196"
State Bank of India,SBIN,"Public Banks","877739.4262527401","12.55178505047461","537832.3162527401","18.102837446476933","29.678507909184958","-0.5113358544021125","1.2316668703253926","2.291066253952224","1.0648908826242334","15.782900266071515","10.730103578106196"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","842073.68893932","16.849851692235756","807916.68893932","16.164504337146695","47.47084102077036","0.6826994824595154","3.102440430395803","5.823616002155781","3.217780581074618","21.61194022660079","17.111840864444627"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","574292.70542025",,"924241.83542025",,"67.05414393384079","0.0836195299038297","7.0030605753563515","2.291066253952224","1.0648908826242334","15.782900266071515","30.198292479685698"
Larsen and Toubro Ltd,LT,"Construction & Engineering","537992.3385507901","131.134355688206","621823.3785507901","58.72823597197053","9.902050862578083","0.07875337433044705","1.8447451943730429","6.806753889542422","0.5875072100804868","40.633213495947615","33.448935155442825"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","519095.19751365995","48.02989327242107","509645.19751365995","43.67282496328958","5.6862454157642865","0.026925955392106626","7.455479239273546","8.190568262110702","1.6836677726443445","30.846384996929732","34.51430834532314"
Life Insurance Corporation Of India,LICI,"Insurance","506347.690953555",,"436740.30095355504",,"12.787380286464883","0.7358253385895759","0.5667234869612096","2.291066253952224","1.0648908826242334","15.782900266071515","9.54929049878613"
Infosys Ltd,INFY,"IT Services & Consulting","483047.29062591","14.636338034675132","457517.29062591","14.21312571723386","-1.639732712928789","-0.022193751253858807","2.640006616454485","5.823616002155781","3.217780581074618","21.61194022660079","16.407856339195313"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","451146.9544091","35.90145228740128","428789.3544091","32.05969791332346","8.622795993489909","0.24996047778629737","8.243287324384271","6.347180737078195","0.48032722824004936","43.622095468751965","41.33172650874417"
Adani Power Ltd,ADANIPOWER,"Power Generation","424726.11618292","46.09214139338387","458251.29618291993","19.753683236954743","114.25699146851673",,"7.3399129181249965","3.339096192839704","1.2719239646781941","25.412372557238267","33.09304879759084"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","408817.6669722","72.78807900360287","400014.1669722","25.335436284391616","29.532140119372908","0.002094760907811022","2.175039872973158","5.599852449734864","0.6843999547954118","24.52159967199169","27.849563470976488"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","408399.78971147997","49.56596556215296","454884.70971148","23.707950277801128","3.8585643489244768","-0.07189368776053223","9.933838985898513","6.806753889542422","0.5875072100804868","40.633213495947615","31.89076156891696"
Axis Bank Ltd,AXISBANK,"Private Banks","388638.42215172003","6.833275203710037","286574.85215172","8.756336161213312","-2.0668055906876783","-0.9644059447978941","2.395868011892589","2.291066253952224","1.0648908826242334","15.782900266071515","14.759863450645557"
ITC Ltd,ITC,"FMCG - Tobacco","385343.795444405","23.82644412649218","365696.365444405","21.860947467323214","-3.1001763856948887","0.28486079854522117","4.144397003858756","8.190568262110702","1.6836677726443445","30.846384996929732","11.000748680856823"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","381150.2237304","19.23777509160103","302088.4737304","22.532295309182636","14.57451921148679","-0.8745716782993236","3.531408894016009","2.291066253952224","1.0648908826242334","15.782900266071515","19.871632081257"
