Name,Ticker,"Sub-Sector","Market Cap","Mutual Fund Holding","Domestic Institutional Holding"," MF Holding Change – 6M","Promoter Holding Change – 3M","Foreign Institutional Holding","DII Holding Change – 6M","FII Holding Change – 6M","DII Holding Change – 3M","Promoter Holding Change – 6M ","MF Holding Change – 3M","Promoter Holding","Pledged Promoter Holdings","FII Holding Change – 3M","Insider Trades - 1M Cumulative","Insider Trades - 3M Cumulative","Retail Investor Holding","Bulk Deals - 6M Cumulative","Bulk Deals - 1M Cumulative","Insurance Firms Holding","Bulk Deals - 3M Cumulative","Insider Trades - 6M Cumulative","No. of Shareholders"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1840019.2900303397","9.78167307863404","20.547598275566408","0.29484444264272547","-0.0070412550102645355","18.6658487201235","0.5828216891207347","0.3546339331511099","0.3641557572712344","0.8915012718524338","0.25778596365714","49.99927540696029","0","-0.41934103976786474","0","0","6.959419393389481",,,"9.030445227562959",,"0.000013005712092567809","4421289"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1169343.2606485","25.593210089268776","34.92891255788315","3.0523876119990234","0","38.16134983475203","3.5212761867328304","-3.7480244566592305","-2.2617105932098625","0","-1.0655485201926602","0","0","-9.51137013266267",,,"8.552080116249915",,,"6.2435478156642725",,,"4230425"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1160404.30227762","12.027411512273794","20.652762447778226","0.7052927360281096","0","27.795042316454783","1.1386688094507065","0.3729386679011064","0.9966297905199006","-1.399647188258669","0.6671097536169874","48.869994768721","0","-0.9630938336760977","0","0","1.2945617265897806",,,"6.1893024978200035",,"0.0010785490018059766","901086"
ICICI Bank Ltd,ICICIBANK,"Private Banks","887112.8190763199","27.832246320092736","39.946328293543345","-2.9244053274772632","0","34.48669623842055","-5.110781356459135","-11.072215036012011","-6.787866745630126","0","-4.252294971235244","0","0","-9.38088986337921",,,"4.86934576293531",,,"8.124270943986607",,,"2082901"
State Bank of India,SBIN,"Public Banks","877739.4262527401","13.17395808753202","26.00706162544301","-1.0573060621501877","-0.47073228824546476","11.31351051292485","-1.7760728265019416","1.7437563554336872","-1.1660530587447084","-0.46682751345453255","-0.5835645956181743","55.03180302588261","0","0.9724076921168265",,,"5.352518012980545",,,"10.3264622016809",,,"3763427"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","842073.68893932","5.774449704729337","13.41236746169831","0.18554739117286356","0","9.661373149791231","0.7166303709074615","-0.6699591670850253","0.5387853362589645","0","0.2495681200379405","71.76605361484792","0","-0.7133098044644921",,,"4.309628173013143",,,"6.69213693133224",,,"2450090"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","574292.70542025","8.762844871706186","15.182347405684244","-0.12352617760502049","0.008276440352474879","21.32822625751437","0.7139505419836212","-0.645037814023425","0.23965466390314738","0.04034563787354983","-0.3284838982813181","54.70463432198368","0","-0.16803050980045242","0","0.06416567673805937","4.928822592880309",,,"4.564535938587263",,"0.09627716682751214","1002945"
Larsen and Toubro Ltd,LT,"Construction & Engineering","537992.3385507901","20.501611252561275","43.33430403718593","0.16469029915099043","0","18.782413743755974","0.4397406960232999","-0.4970620043499352","0.7965634426074999","0","0.3475438586959747","0","0","-1.067258315365244",,,"18.917279597040988",,,"18.75353742245919",,,"1801254"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","519095.19751365995","6.624779063380768","16.39892445258847","0.23047817242010105","0","10.102592090759996","0.7126940021791768","-0.6882323858420971","0.6462086510772878","0","0.3488442918800736","61.900675301370775","0","-0.6064724631240992",,,"9.705896199404576",,,"8.790664033376883",,,"1106831"
Life Insurance Corporation Of India,LICI,"Insurance","506347.690953555","1.1323652495348158","1.278992401644827","-0.08772325718193952","0","0.3124529515145194","-0.07650929263159889","0.19026481224012698","-0.06450079814819532","0","-0.07154655564988621","96.49999999264823","0","0.11254960612672638",,,"1.4777153987775022",,,"0.04057375387811228",,,"2111766"
Infosys Ltd,INFY,"IT Services & Consulting","483047.29062591","23.498766953722246","43.379949301290296","2.761138168593522","-0.13084508493300895","28.45148114802598","5.3787774746921855","1.0142662464283738","2.1102699159765805","1.337336220585403","1.3777826332425143","14.384444659698323","0","-1.8093125539018509","-0.007157332253071755","-0.007828510684235181","7.481201617231916",,,"16.029772679586898",,"-0.015602364694860484","2748596"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","451146.9544091","11.958912806576565","21.105741521368316","-0.4516095974710854","0","15.93482684912478","0.8707655355016968","-0.619142061685535","0.2872291316622615","-0.0006251732328905746","-0.12833097664558402","54.47840969866746","0.7720889426289652","-0.18687011426337286",,,"4.3058677213378",,,"6.825371823759982",,,"690957"
Adani Power Ltd,ADANIPOWER,"Power Generation","424726.11618292","3.6196490153355527","3.6853845128060585","0.9335739183536114","0","11.735145085876017","0.9927669373493462","0.20150876430480658","0.2637918607381966","0","0.2274725561956985","74.95906497940072","1.3559976136526553","0.09717439807404027",,,"4.515008219312124",,,"0.02517090923270595",,,"2087011"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","408817.6669722","14.945397997918427","24.17708514053069","0.3440919666262019","0.24141023730932432","14.116311910347147","1.5424832367943644","-1.6620426905283523","1.2630478655050723","0.24141023730932432","0.505645669427631","58.525435609188115","0","-1.6426147325371439",,,"2.6302421429921243",,,"7.060530617665998",,,"400860"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","408399.78971147997","5.237862386739297","13.850038799603725","-0.336278817404402","0","13.247459786284798","-1.1829163143090984","-0.35990966929436397","-0.039167318585793254","2.1290752913565427","0.141374080938653","68.02187761755135","0","0.15043470185771213",,,"3.2514912727847394","-0.9386765627708269","-0.9386765627708269","7.405050382539387","-0.9386765627708269",,"1095768"
Axis Bank Ltd,AXISBANK,"Private Banks","388638.42215172003","34.113554925528994","43.36304985028824","1.2679592765247847","-0.013407392556278097","42.04923416388895","1.9011030535618332","1.53810641957309","0.7116075104603112","0.2466951784115432","0.6373920645497151","8.13809676234909","0","-0.5209458233621049","0","0","3.9300473725022176",,,"4.901060179337781",,"-0.00003228546481518971","854844"
ITC Ltd,ITC,"FMCG - Tobacco","385343.795444405","16.75874196164838","49.13825999228874","2.4644299732558625","0","34.823009496962264","1.7441528366082366","-2.5579700082235135","0.2630876002933604","0","0.5945449411773147","0","0","-1.2807786041863949",,,"11.939224350310736",,,"20.354458393454543",,,"4041653"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","381150.2237304","23.565222556783855","36.18003548084689","2.794822019728226","-0.0025283308326997656","26.397506744343374","4.172780759778753","-3.354962609341655","3.3004169117130644","-0.009163115407165634","2.385129118529729","25.870517796375488","0","-2.9601543322811352",,,"4.342747329542442",,,"9.420009115902026",,,"781448"
NTPC Ltd,NTPC,"Power Generation","380545.66242883","17.830116971210963","29.12796154852123","-0.7221258423498504","0","16.548452125968595","0.1909962325614316","0.14885721340233005","-0.06270836714362105","0","-0.6185043103599135","51.103608008372824","0","0.30397647596267774",,,"2.3203159198303487",,,"8.53506865723753",,,"3300179"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","375991.59436953","2.7132671231446532","6.701925695568524","0.26708375769703974","0.6962266902221188","10.79984776400022","-0.13301176421295935","-0.9186181228097823","-0.019383647282474215","0.6962266124818939","-0.07171088494175049","74.66825989532143","0.5956606127455825","-0.8463706061582243",,,"3.0722749461457823",,,"3.9384642639093497",,,"664882"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","375269.72871497995","7.687638264329951","19.30959443127005","-0.9169560159283465","0","7.97495765055439","-0.6478142389807324","0.9937874347047302","-0.3818027661666825","0","-0.5972305683340169","58.892707957279974","0","0.5522397147343581",,,"2.8176531791992407",,,"11.052975687032617",,,"2777888"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","374901.99406607996","17.24686351312757","31.503368373697345","0.8971492043895175","0.3123883422545042","36.22115776516029","1.5395371021988353","-1.8188881909506023","1.5521420156813655","0.01664513577216198","0.909196469523657","18.452510418764685","0.003272045893264157","-0.6628050804104362",,,"7.351324322660467",,,"10.699932735979964",,,"941478"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","364256.2655664","8.452403898704617","15.036455062556955","0.6167326375081137","0","15.648410310879369","0.8733266353239841","-0.4568014441675903","0.03385646381331142","0","0.2212156585094771","52.89583698849282","0","0.09864526385498351",,,"8.392398457754737",,,"4.76428760727696",,,"735599"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","335618.1365715","15.2410151174207","18.41902901240346","1.1794488182539364","0.04308414455258003","14.11249694332824","1.7678704546104491","-1.7111789689404286","0.9697845254220567","0.10111335626092455","0.567159190223185","59.328922165319916","0","-0.820433623386295",,,"5.50389800031031",,,"2.8764649266642603",,,"409350"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","319303.1106288","5.332800895586354","11.153970010981592","0.6464938706599241","0","25.382159453006853","0.279325683287059","-0.16998488042689885","0.10209907995462864","0","0.2436597900776034","45.31689270817376","5.352737848265838","0.0038968224846946953","0","-0.0036837422057923817","3.4152357460487974","-0.8189733672281863","-0.8189733672281863","5.706737642183856","-0.8189733672281863","0.03534908537819269","603274"
