Name,Ticker,"Sub-Sector","Market Cap","Lot Size","Fair Value","Future Close Price","1D Change in Future OI","Rollover Cost","Highest Put OI Strike","1D Change in Future Volume","Basis","Put Call Ratio","Cash & Carry Profit","1W Change in Put OI","Future Open Interest","Highest 1D OI Change CE Strike","Highest 1D OI Change PE Strike","Highest 1W OI Change CE Strike","1W Change in Future Volume","1W Change in Future OI","Fair Value Spread","Future Volume","Highest 1W OI Change PE Strike","Highest Call OI Strike","1 D Change in Call OI","1D Change in Put OI","Call Open Interest","1W Change in Call OI","Percentage Rollover","Calendar Spread","Put Open Interest"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1840019.2900303397","500","1353.8110444170077","1363.9","-17.10951200338635","0.5938851821981","1350",,"4.2000000000000455","0.5930610358202756","2100.0000000000227","31.70869597560068","68538000","1530","1140","1320","1.2314929693961951","-14.61194894507671","10.088955582992412","21583000","1330","1500","-0.051578552776207","9.06223821022027","74636500","17.21016057477131",,"8.099999999999909","44264000"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1169343.2606485","550","760.2336586882453","762.95","-23.68103036685573","-1.1075430893243299","750",,"3.450000000000045","0.5655895560574764","1897.500000000025","-0.88684668330686","183746200","710","815","710","2.109563490869709","-31.61863435401998","2.716341311754718","56850750","735","800","0.0141245557278921","2.66866254501292","88039550","-5.42823643276577",,"-8.450000000000045","49794250"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1160404.30227762","475","1886.6545097510568","1908.6","-15.23452428909341","0.5187048098082401","1800",,"3.699999999999818","0.5557521527391605","1757.4999999999136","44.90333919156415","38980400","2200","1880","1980","0.3783477932855525","-31.92929485637499","21.945490248943088","6954475","2000","1940","0.0179426042506476","-3.10829073388565","28187925","37.2092485549133",,"9.900000000000093","15665500"
ICICI Bank Ltd,ICICIBANK,"Private Banks","887112.8190763199","700","1225.8203635262057","1240.7","-7.48143785868523","0.57225759651808","1260",,"3.400000000000091","0.6132070394488994","2380.000000000064","6.68872311869908","112170800","1220","1340","1230","1.869893968364332","-9.20608299526324","14.879636473794335","23114700","1230","1300","0.0247063365135389","-0.16939252336448","39020100","-3.63051708936258",,"7.099999999999909","23927400"
State Bank of India,SBIN,"Public Banks","877739.4262527401","750","931.3756888797408","952.1","-9.44401816635905","0.5881735111858","1000",,"1.2000000000000457","0.4507677972869952","900.0000000000341","-0.8174024175941199","65500500","800","1180","880","-0.3391549725442343","-22.90907164988039","20.724311120259244","13002000","910","1100","-0.065069209926406","0.56422439393122","123958500","-19.67984293448151",,"5.600000000000023","55876500"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","842073.68893932","175","2288.124451727921","2296.3","-6.744115455724491","0.19596742585899002","2300",,"-31.09999999999991","0.611272362911578",,"6.85438171155581","35484750","1880","2760","2000","0.2733842377965638","-4.4412188846056","8.17554827207914","4902975","2180","2500","0.0500268397885657","1.2990870310568998","20783575","-0.7033892636688499",,"4.5","12704425"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","574292.70542025",,,,,,"900",,,"0.7098538189356303",,"0.33341752967921",,"920","830","1100",,,,,"860","1000","-0.0645916218113737","-2.8136621648071998","20984250","4.286406500428639",,,"14895750"
Larsen and Toubro Ltd,LT,"Construction & Engineering","537992.3385507901","175","3868.2785063157967","3882.1","-9.287042342458228","0.5898869168748799","3900",,"-28.59999999999991","0.627993512069459",,"6.71898307283223","13575625","3520","3880","3940","0.0754530883984712","-14.29976027132425","13.821493684203233","1526525","4300","4000","-0.0030817813457112","0.80558703709376","9170875","0.15097656996521",,"22.90000000000009","5759250"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","519095.19751365995","300","2207.313193166264","2215.2","-1.51166676495448","-0.37016973636691","2300",,"5.899999999999636","0.4507169616328639","1769.9999999998909","10.076981322564361","15030600","2240","1960","2440","0.4939626783754116","-0.42333300208685","7.886806833735591","1638000","2260","2400","0.0409886770124525","5.85558252427185","11611500","17.51578819528783",,"-8.199999999999818","5233500"
Life Insurance Corporation Of India,LICI,"Insurance","506347.690953555","700","792.7499268795955","807","-4.754612969910419","-0.33457249070632","800",,"6.4500000000000455","0.4501550387596899","4515.000000000032","9.442140972483969","8708000","880","710","820","0.0726767275615567","-12.66498174670036","14.250073120404522","1890700","900","900","0.0128768844221105","7.537037037037029","9030000","5.12590660907832",,"-2.700000000000045","4064900"
Infosys Ltd,INFY,"IT Services & Consulting","483047.29062591","400","1181.6778240230556","1185.9","-2.66647563557635","-0.38789105320854","1100",,"-7.799999999999954","0.6951699102551174",,"19.29399550095172","73370400","1160","1290","1090","0.6900314525964439","-2.7258360467952802","4.222175976944527","21063200","1110","1200","-0.0315145951541548","1.327219013184","39668000","-9.08590863670116",,"-4.600000000000136","27576000"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","451146.9544091","350","1862.9888040941544","1885.9","-11.245593786068559","0.65220849461795","1900",,"5.600000000000136","0.5694635239678982","1960.000000000048","34.86152133898377","19916400","2120","1600","2120","0.0508677438659486","-13.927879961277831","22.911195905845716","3073350","1960","1900","0.0159581305665228","0.06352231221216001","19363400","31.52651974419322",,"12.299999999999956","11026750"
Adani Power Ltd,ADANIPOWER,"Power Generation","424726.11618292",,,,,,"210",,,"0.4357307060755336",,"0.9894961181306099",,"265","205","265",,,,,"205","220","-0.0285841893702545","-3.06838106370543","54048750","30.68669527896996",,,"23550700"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","408817.6669722","50","12958.698120768897","13005","-6.819784870393231","0.56132256824298","12800",,"2","0.3971529274886219","100","10.20272515785976","2113700","12900","12800","14500","-0.0622122846244903","-13.203983163946209","46.30187923110316","357750","11800","14000","-0.0139024801754682","13.812208874724199","2922300","14.40931780366057",,"73","1160600"
