Name,Ticker,"Sub-Sector","Market Cap","1M Average Volume","1M Return","1Y Return vs Nifty","Daily Volume","Close Price","1M Return vs Nifty","1W Change in Volume","3M Average Volume","1W Return","6M Return vs Nifty","1D Return","% Away From 52W High","6M Return","1Y Return","1W Return vs Nifty","1D Change in Volume","% Away From 52W Low","5Y CAGR","Face value"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1840019.2900303397","19758130.363636363","0.14730794726375487","-0.40356560645371964","13248515","1359.7","3.044309160076469","-3.982275967896481","19705973.689655174","-0.124871455854271","-2.5550448883465524","2.79730853557118","18.540854600279477","-12.226454070105214","-4.555664747999429","-1.1772962185888731","-38.849717807125714","5.403100775193792","8.572913361545865","10"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1169343.2606485","35860685.63636363","-4.284814114681789","-16.522609720535865","24013451","759.5","-1.3878129018690752","-17.083256232303953","45491140.5862069","0.9973404255319149","-15.044851907600513","-0.3869106170896512","34.36471362738644","-24.716261089359175","-20.674708862081573","-0.05508433720268724","-40.42484797618726","4.520745888667177","1.1752858800808452","1"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1160404.30227762","9921575.181818182","2.6900269541779025","9.459191849821456","5778742","1904.9","5.587028166990617","-41.18575982505774","10259659.827586208","9.445561620224078","-2.0693126826716792","-0.4494382022471863","14.152973909391564","-11.740721864430341","5.307092708275747","8.393136857489475","-35.521144965292116","9.445561620224074","30.101336454371562","5"
ICICI Bank Ltd,ICICIBANK,"Private Banks","887112.8190763199","18547581.772727273","-9.015368777115974","-9.816750809782345","14953103","1237.3","-6.118367564303259","-23.279237179324376","18981999.844827585","-0.08075587498990552","-0.8636595094922441","-0.2820760799484204","21.231714216439034","-10.535068691250906","-13.968849951328053","-1.1331806377245077","-61.588834436840784","4.184910744358383","14.871692372025125","2"
State Bank of India,SBIN,"Public Banks","877739.4262527401","18963599.454545453","-12.002591153063108","25.18563824929089","11928460","950.9","-9.105589940250393","-32.165226579196094","18067207.48275862","-2.7709611451942764","6.548796986760957","0.22133220910624188","29.845409611946593","-3.1226121949977057","21.03353910774518","-3.823385907928879","-30.97303150669101","22.051084584777293","19.849549618468632","1"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","842073.68893932","4138970.6818181816","-9.390329362298521","-29.31844369354562","2537422","2327.4","-6.493328149485807","-20.001652036371283","4172628.3103448274","0.9280138768430222","-16.32070478415332","0.01289158179709432","52.87445217839648","-25.992113965911983","-33.47054283509133","-0.12441088589158","-75.58928789431006","5.484046410442356","-5.326175671986999","1"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","574292.70542025","7640223.2272727275","2.4357765077955995","5.826292334628652","5864990","923.1","5.332777720608314","-20.98844233399327","9330182.25862069","2.339246119733927","-0.5852503554764059","-0.048725028422925865","19.434514137146564","-10.256659537235068","1.6741931930829437","1.2868213569993248","-29.452623597049058","17.159538012438126","10.5569468123615","1"
Larsen and Toubro Ltd,LT,"Construction & Engineering","537992.3385507901","2674943.590909091","-4.449276778733394","13.763063881721717","1972259","3910.7","-1.5522755659206804","-20.675895798224694","3763394.7586206896","1.6294178794178746","6.533250961121611","-0.2626880897730217","13.534661313831297","-3.13815822063705","9.610964740176009","0.5769931166832725","-14.921727051941833","18.934947233964895","22.6372715239602","2"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","519095.19751365995","1878410.6818181819","-1.1675762727028678","0.08860918656362049","1071994","2209.3","1.7294249401098463","-18.07828305792861","2009181.551724138","-2.459161147902862","2.159040406594534","-1.0569214922298316","22.441548412237445","-7.512368775164128","-4.063489954982089","-3.5115859106374643","-6.377868722173024","9.23609394313969","-0.8520597277371311","1"
Life Insurance Corporation Of India,LICI,"Insurance","506347.690953555","1190390.4545454546","-4.360551938354937","-1.7430460330164266","1569395","800.55","-1.4635507255422229","77.75858553823849","1451072.1551724137","2.4703999999999944","-2.191411472210291","-0.36714374611077105","22.41583911061147","-11.862820653968953","-5.895145174562136","1.4179752372653922","132.85137761687858","10.956340956340949",,"10"
Infosys Ltd,INFY,"IT Services & Consulting","483047.29062591","14410690.590909092","-9.42408376963351","-19.358089247535407","15121010","1193.7","-6.527082556820796","126.90213293265974","13648795.189655172","5.023755058947751","-12.639036636659817","-0.26735733979447285","44.75998994722292","-22.31044581841848","-23.510188389081115","3.971330296213149","-53.00488365367597","9.61432506887052","-2.2754982153746384","5"
