Name,Ticker,"Sub-Sector","Market Cap","Current Ratio","Cash Conversion Cycle","Interest Coverage Ratio","Long Term Debt to Equity","Debt to Equity","Quick Ratio","Net Income / Liabilities","Working Capital Turnover Ratio","Inventory Turnover Ratio","Asset Turnover Ratio","Days of Inventory Outstanding","Earning Power","Days of Sales Outstanding","Days Payable Outstanding","Price Momentum Rank","Fundamental Score","Value Momentum Rank","Earnings Quality Rank","Price to Intrinsic Value Rank"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1840019.2900303397","1.1003510844387827","12.3184831132","5.551273049776431","0.2516189163115847","0.3707442161750985","0.7784421371851976","8.592289862534","18.368440633825443","0","0.586370348856512",,"7.70487758967602","12.391298043327952",,"32","7.71428571428571","50","36","59.18"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1169343.2606485",,,,"1.179238913695242","0",,"1.968647934416327","-0.21499782024446892",,"0.1174665404724484",,"2.3214043939934066",,,"9","5.66612903225806",,"26","76.81"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1160404.30227762","0.3745772837760101","-219.3880073838","3.0956655671690956","1.0460435648673956","1.39209814182398","0.3720739613456426","7.5938348592953595","-2.2164268737150254","0","0.4522682460130132",,"13.213321439073436","10.382548401948872",,"24","7.06666666666667","24","64","47.43"
ICICI Bank Ltd,ICICIBANK,"Private Banks","887112.8190763199",,,,"0.6658200571176269","0",,"2.325530967357829","-0.23047960516152083",,"0.12440768822507409",,"2.909556881334786",,,"29","5.50322580645161","48","51","74.19"
State Bank of India,SBIN,"Public Banks","877739.4262527401",,,,"1.2094683906509807","0",,"1.198622214187082","-0.14660535751117942",,"0.10125201638298499",,"1.5556984843139487",,,"62","5.48870967741936",,"22","62.12"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","842073.68893932","2.2278129822372525","-904.3622950654","54.37163814180929","0.08714209332767935","0.10401187337524659","2.2273369012049775","67.69937679703945","3.748910573822004","1.72","1.597470395743579","212.2093023255814","36.82458725926907","85.23117053455307","127215.23255813953","4","5.65","36",,"63.06"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","574292.70542025","0.47731264485277897","-20.9959502201",,"3.311574176224864","3.651303876642979","0.47731264485277897","5.179169668972959","-4.030648395721926",,"0.19481894113029177",,"5.538546236439554","8.115318691470716",,"39",,"40","7","41.76"
Larsen and Toubro Ltd,LT,"Construction & Engineering","537992.3385507901","1.2139583969769905","85.185290845","3.638702540389426","0.5179087876573778","1.1473543997903703","1.175979906016164","6.099110763204217","6.969649223327593","0","0.8115441023102812",,"9.448335196404853","64.13305127874895",,"53","4.17301587301587","55","40","39.98"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","519095.19751365995","1.3334341174336337","-46.8782949063","45.43658536585366","0.025055937430708136","0.03321977866919309","1.066457035738042","49.712434719375956","9.97578623110538","0","0.8793826412044053",,"23.326196110839813","17.865739809841152",,"44","6.45555555555556","30","82","37.78"
Life Insurance Corporation Of India,LICI,"Insurance","506347.690953555","4.318584354463863",,,"0","0","4.318584354463863","0.8733013573237037","6.040075962578732",,"0.16279428818258754",,"0.9940164207465496","0",,"28","5.01428571428571","61","94","61.28"
Infosys Ltd,INFY,"IT Services & Consulting","483047.29062591","1.977925155766217","99.1357170862","97.14182692307692","0.06448224487389734","0.09835257296590458","1.977925155766217","48.26941679919988","3.471427487288457",,"1.2114021643058366","0","26.191926786269832","66.22073322694183","7948.161434977579","5","5.68461538461538","37",,"54.35"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","451146.9544091","2.890703141274065","254.6741767362","60.440395919778716","0.0049424750589597026","0.03258824641189086","2.327703703540852","56.27089427093441","1.7988410363391851","1.12844713653102","0.6175836919748722","323.45334414339794","15.214637136601835","81.0159931634064","207.06857267491816","62","4.38285714285714","39","68","18.36"
Adani Power Ltd,ADANIPOWER,"Power Generation","424726.11618292","1.6004784383422168","98.6741047291","5.603591508926794","0.4947476429691065","0.6807616877700774","1.3987095667596663","23.290445242873524","5.8834968533891345","0","0.5647416874358978",,"16.708064121464886","77.89935303173164",,"96",,"86","49","5.56"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","408817.6669722","0.9657741940759882","-26.2678978628","81.09426057813164","0.0006088950632741721","0.0009039909642466377","0.7396346150700838","41.083028045439214","-86.1346378571591","0","1.520238373990447",,"14.667745689968736","10.813073563500918",,"26","6.7","39","66","56.77"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","408399.78971147997","0.8958341691167058","-35.0321952575","4.190507909359303","0.630669449924696","0.7878175235923806","0.8709134968985272","18.744471781513834","-62.725681809512636","0","0.328315575052652",,"14.614922590341248","35.95356511654266",,"80","5.8","60","37","21.2"
Axis Bank Ltd,AXISBANK,"Private Banks","388638.42215172003",,,,"1.174674092202389","0",,"1.7907280167021886","-0.16069885696894326",,"0.1021103743601383",,"1.9474254403897155",,,"52","4.67258064516129",,"17","65.37"
ITC Ltd,ITC,"FMCG - Tobacco","385343.795444405","3.062155934341232","114.5126457682","931.8244562805147","0.0019490627140510079","0.004041879634546125","1.9712224895720767","197.37065430031436","3.2662013467801754","2.2611092686110044","1.0345035875442063","161.4251929647871","47.71218383072337","17.165639862825618","52.04723272640034","7","6.66666666666667","35","91","34.21"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","381150.2237304",,,,"0.61986432733388","0",,"2.651158746295668","-0.27128413044934446",,"0.13091463167201384",,"2.950466030635913",,,"31",,,"33","51.84"
NTPC Ltd,NTPC,"Power Generation","380545.66242883","0.9192745372394436",,"3.424248105299138","1.0633783494454976","1.3085634316136632","0.7318148123042612","7.047011900888254","-16.71714494021953","6.280665536153178","0.39260489955495986","58.11486026424479","8.687749384175108","63.108721569437094","105.70554365862826","79","5.11428571428571","79","17","22.46"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","375991.59436953","0.8595015316626269","-65.3294878431","3.2469497202248827","1.3959782505717588","1.6259684489852655","0.6423908077027382","6.606288086015072","-15.808988795719575","0","0.6258342514135012",,"9.878434846884556","31.58219863816073",,"63","3.26052631578947",,"23","11.12"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","375269.72871497995","0.8090075030751701","22.8841174503","4.604956329399146","0.32829340014908276","0.5018697871006869","0.451748383148992","9.572832284219412","-20.45018725734604","3.9526847840814674","0.8399976842451627","92.34229895334784","8.892881534571902","11.942673752196141","74.09271333537465","78","10","87","34","17.94"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","374901.99406607996","1.401355771422713","91.671335044","3.6259153255446597","0.8894968481840341","1.3410424470451665","1.1762619100261384","9.351815952197304","6.920295906903786","0","0.7990417337840042",,"12.599257948425361","14.076923830888868",,"30","7.15","50","40","71.88"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","364256.2655664","1.3350133757220952","165.4376518337","6.763559322033898","0.25060220233998626","1.7874225739848588","0.24231380607141473","17.480445194858895","9.947742663656886","0","2.441738696808511",,"19.635871570918933","4.319355094909062",,"69","4.55294117647059","41","65","58.24"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","335618.1365715","0.7291682952278342","26.4964172863","6.8380785484930895","0.22531090750237914","0.32617518001617474","0.4336951339673727","13.66892818223363","-14.222445012951036","0","0.7600508076703936",,"9.577716604832704","20.830113614424402",,"51","5.23378378378378","37","42","51.94"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","319303.1106288","1.166760135915284","21.2890953701","4.2135794330916285","1.0316652392022514","1.2074880704759574","0.5901758321512223","14.06042277037457","47.57594125189416","0","0.8714852148959203",,"15.950425253176403","14.27523679787531",,"75","5.27313432835821","80","53","17.31"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","316520.59020372","2.2150932629551696","38.2760422349","26.433831990794015","0.03886728000803755","0.09007793549868673","2.2103498698241735","47.81222167954722","3.726183233109303","0","1.294182400754843",,"21.98602603369066","71.18905402737062",,"4","5.91410256410256","32","85","49.53"
Bharat Electronics Ltd,BEL,"Electronic Equipments","302113.15900257","1.7646813747451753","335.052767271","1197.5765230312036","0.002935552395533799","0.003062597941361978","1.302986721015786","29.101222520179316","2.0762335589035135","0","0.7013521796733089",,"19.742736855203994","106.92901422977029",,"67","6","69","93","54.25"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","292188.05065125","1.6787162427560536","-16.3091274489","12.938780924019552","0.17648765585591983","0.26611232283045","1.4993831908499882","56.78406779284797","12.422432601714783","0","1.4049314948882126",,"27.94336047807871","11.677999971362398",,"78","7.85","61","84","14.48"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","289345.50375","1.9886622480004028","565.7476419849","2099.778929188255","0.000032585235401171226","0.001470337288628296","1.4705247678437792","12.366291071799937","1.013352544849531","0","0.38849961473408745",,"11.18481347389834","45.90618320098763",,"49",,"41","88","55.09"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","283255.6730636","0.2280309232954178",,,"2.5090048813310903","2.770715018885541","0.2280309232954178","1.8736863866852032","-1.0242405161790709",,"0.25324670605836025",,"4.126225923384286","17.32690520106566",,"20",,"41","16","57.29"
Coal India Ltd,COALINDIA,"Mining - Coal","282684.34835949","1.4812047710183234","59.7166331376","35.468855343429865","0.07535925965093389","0.0915024198432247","1.2787502905043366","19.55190254196257","4.872482045253887","0","0.7283582752293172",,"16.657065735277865","26.280938543177374",,"80","8.375","85","91","8.18"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","278925.10853181","0.7329953118275723",,"2.7219890193404503","1.1861289334955412","1.4140539230355733","0.6881868391262129","9.187969674990127","-4.909962859499348","0","0.18451988337244307",,"8.643813520510667","74.64804234841435",,"68","5.75625","71","15","22.77"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","273839.9165832","0.7969863510730255",,"29.8303328911629","0.09077080751382094","0.2909697995865553","0.18867747340113325","42.75978203885807","-33.01248814192873","0","2.052768090690506",,"38.72973070500896","5.194296940305964",,"76",,"70",,"15.11"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","270269.71868064","2.8895739910313902","25.6661897897","29.733685322069654","0.025939132017529527","0.03825227403193211","0.6092823303920151","102.92472835125825","16.397813619773103","0","3.0293259838461957",,"17.372221523001464","0.8480925421990964",,"67","10",,"58","24.55"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","266385.236355","1.0381284043218144","0.522169149","22.00794551645857","0.46285457001350744","0.8229776377007354","0.8694526296990803","65.35626535626535","37.954771596562644","0","1.2271404547780946",,"56.216294578138594","1.1830596534712459",,"92","6.4375","84","99","26.13"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","258421.586430241","0.794386339046305",,"3.228067017717168","0.8033091056451703","1.0377467439961872","0.27646205784289307","5.862862549686105","-10.312963714231206","0","0.863281525631871",,"8.39899414278546","8.943638460753023",,"87",,"85","23","24.97"
Asian Paints Ltd,ASIANPAINT,"Paints","249113.3064987","2.087114600619317","95.6857846144","23.478504096555376","0.0689424474239807","0.11417739125232751","1.2617761689572706","35.617315125968815","3.8709466051306705","2.792618337251279","1.1490616207310074","130.70171284460682","17.559038387099438","48.51369654876782","84.07621413588215","42","4.66960784313725","26","79","15.53"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","242734.4307284","1.5562458025520483","49.571520006","7.533196841181632","0.46750349576870537","0.5167190695193217","0.8113743207766042","11.382212136947908","8.116665264574745","3.6082264849965964","0.9745284562535478","101.15772984808748","9.744986757472569","27.418089027267037","98.66188950467613","92","6.63125","93","43","7.45"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","224543.0534496","0.5105400284225485","26.3423993107","1.2442936458975942","3.0650334470384974","3.5458290878483143","0.5045594504973946","1.8732070165889945","-1.2946411841858723","0","0.13898918783002262",,"7.283955075656351","38.061002966929586",,"88","4.83333333333333","47","4","7.87"
Eternal Ltd,ETERNAL,"Online Services","223724.172283786","3.5180396873120867",,"2.568877551020408","0.05456944902672385","0.0674694820191356","3.4651232711966324","6.888763410502541","9.491063829787233","0","1.8908425032638736",,"2.826825365634562","8.967898134863702",,"19","4.66666666666667","31","21","84.37"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","217272.13880196","8.485728122617399","-2.1897905524",,"4.147283097413805","4.147299389302109","8.485728122617399","4.225104797701889","3.5038586493618475",,"0.17783644323349618",,"4.52796615686062","0.3879663185153752",,"82",,"76","8","68.94"
