Name,Ticker,"Sub-Sector","Market Cap","Percentage Buy Reco’s","Percentage Upside","No. of analysts with buy reco","Percentage Sell Reco's","Percentage Hold Reco's","Total no. of analysts"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1840019.2900303397","100","24.65985143781716","31","0","0","31"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1169343.2606485","100","36.9321922317314","39","0","0","39"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1160404.30227762","96.66666666666667","19.428841408997844","29","3.3333333333333335","0","30"
ICICI Bank Ltd,ICICIBANK,"Private Banks","887112.8190763199","95","34.971308494302114","38","0","5","40"
State Bank of India,SBIN,"Public Banks","877739.4262527401","82.05128205128206","26.196235145651492","32","0","17.94871794871795","39"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","842073.68893932","69.04761904761905","26.750880811205633","29","9.523809523809524","21.428571428571427","42"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","574292.70542025","81.25","16.99707507312317","26","9.375","9.375","32"
Larsen and Toubro Ltd,LT,"Construction & Engineering","537992.3385507901","80.64516129032258","16.34745697701179","25","3.225806451612903","16.129032258064516","31"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","519095.19751365995","72.22222222222223","15.421174127551705","26","2.7777777777777777","25","36"
Life Insurance Corporation Of India,LICI,"Insurance","506347.690953555","82.6086956521739","25.53869214914747","19","4.3478260869565215","13.043478260869565","23"
Infosys Ltd,INFY,"IT Services & Consulting","483047.29062591","66.66666666666667","22.308787802630473","26","2.5641025641025643","30.76923076923077","39"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","451146.9544091","96.66666666666667","5.780992394830614","29","3.3333333333333335","0","30"
Adani Power Ltd,ADANIPOWER,"Power Generation","424726.11618292","100","-8.281874318924814","6","0","0","6"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","408817.6669722","87.17948717948718","23.2946243174652","34","2.5641025641025643","10.256410256410257","39"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","408399.78971147997","100","7.187182669524997","24","0","0","24"
Axis Bank Ltd,AXISBANK,"Private Banks","388638.42215172003","95","28.020483277324377","38","0","5","40"
ITC Ltd,ITC,"FMCG - Tobacco","385343.795444405","53.84615384615385","13.640058527068765","14","3.8461538461538463","42.30769230769231","26"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","381150.2237304","80.55555555555556","21.346555323590817","29","2.7777777777777777","16.666666666666668","36"
NTPC Ltd,NTPC,"Power Generation","380545.66242883","92.3076923076923","7.784431137724553","24","3.8461538461538463","3.8461538461538463","26"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","375991.59436953","100","0.37710736468499767","2","0","0","2"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","375269.72871497995","65.51724137931035","5.598390881662752","19","17.24137931034483","17.24137931034483","29"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","374901.99406607996","97.05882352941177","32.32656460188329","33","0","2.9411764705882355","34"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","364256.2655664","85.29411764705883","24.19637638807716","29","0","14.705882352941176","34"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","335618.1365715","89.74358974358974","21.395389604698046","35","5.128205128205129","5.128205128205129","39"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","319303.1106288","64.51612903225806","5.43952618453865","20","9.67741935483871","25.806451612903224","31"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","316520.59020372","37.5","20.533424517011458","12","9.375","53.125","32"
Bharat Electronics Ltd,BEL,"Electronic Equipments","302113.15900257","92","22.308250665376235","23","4","4","25"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","292188.05065125","59.45945945945946","2.7479091995221028","22","13.513513513513514","27.027027027027028","37"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","289345.50375","86.36363636363636","22.500866751415693","19","9.090909090909092","4.545454545454546","22"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","283255.6730636","75","23.58916478555305","12","12.5","12.5","16"
Coal India Ltd,COALINDIA,"Mining - Coal","282684.34835949","60.869565217391305","-3.422716372356658","14","17.391304347826086","21.73913043478261","23"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","278925.10853181","60.869565217391305","8.036012004001343","14","4.3478260869565215","34.78260869565217","23"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","273839.9165832","58.064516129032256","3.267375536934025","18","3.225806451612903","38.70967741935484","31"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","270269.71868064","35.714285714285715","8.585492978138126","10","21.428571428571427","42.857142857142854","28"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","266385.236355","60","9.683559362360212","9","20","20","15"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","258421.586430241","48.484848484848484","8.69040142988262","16","18.181818181818183","33.333333333333336","33"
Asian Paints Ltd,ASIANPAINT,"Paints","249113.3064987","53.57142857142857","3.9598245208958707","15","17.857142857142858","28.571428571428573","28"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","242734.4307284","47.82608695652174","-4.698295716259788","11","8.695652173913043","43.47826086956522","23"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","224543.0534496","100","-3.939260563380285","7","0","0","7"
Eternal Ltd,ETERNAL,"Online Services","223724.172283786","90.625","45.26999260294239","29","9.375","0","32"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","217272.13880196","93.75","29.947479560344355","30","0","6.25","32"
Wipro Ltd,WIPRO,"IT Services & Consulting","206682.456642816","28.125","6.5340909090909065","9","18.75","53.125","32"
Grasim Industries Ltd,GRASIM,"Cement","201515.67663226998","90","16.118609269294204","9","0","10","10"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","194929.574638932","60.714285714285715","8.66415531729934","17","14.285714285714286","25","28"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","187891.5140298","62.5","13.876925323016279","20","6.25","31.25","32"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","187011.23867321998","100","27.668705074562812","36","0","0","36"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","182987.492194","65.21739130434783","-1.0227767300159583","15","8.695652173913043","26.08695652173913","23"
Varun Beverages Ltd,VBL,"Soft Drinks","173850.0218016","84.61538461538461","15.56420233463035","22","0","15.384615384615385","26"
BSE Ltd,BSE,"Stock Exchanges & Ratings","171823.18862322","57.142857142857146","-0.44090456549567064","8","0","42.857142857142854","14"
Interglobe Aviation Ltd,INDIGO,"Airlines","164889.47876708","80","27.092810580124738","20","4","16","25"
Solar Industries India Ltd,SOLARINDS,"Commodity Chemicals","164782.390155","91.66666666666667","10.829214717188359","11","0","8.333333333333334","12"
Adani Energy Solutions Ltd,ADANIENSOL,"Power Infrastructure","161704.65643961998","75","7.718594458064044","6","0","25","8"
TVS Motor Company Ltd,TVSMOTOR,"Two Wheelers","161624.68881593","77.14285714285714","18.980338499063027","27","8.571428571428571","14.285714285714286","35"
Hitachi Energy India Ltd,POWERINDIA,"Heavy Electrical Equipments","158343.3195575","75","-29.627023223082336","12","0","25","16"
ICICI Prudential Asset Management Company Ltd,ICICIAMC,"Asset Management","155068.6680648","88.23529411764706","16.179001721170394","15","0","11.764705882352942","17"
Jio Financial Services Ltd,JIOFIN,"Consumer Finance","154955.92446694098","100","30.60894021391742","2","0","0","2"
