Name,Ticker,"Sub-Sector","Market Cap","1W Change in On Balance Volume","RSI – 14D","% Price above 1M EMA","Beta","Relative Volume","Volatility","% From Upper Bollinger Band","ADX Rating – Trend Strength","1W Change in AD Line","Stochastic %K","William %R"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1840019.2900303397","-3.238561844794262","35.2093651508329","-0.9961225320098244","1.03313077860977","0.8365474848840717","20.53507855092384","-7.863511983493001","27.1886634501473","-3.143782325397167","29.291044776119456","-70.70895522388054"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1169343.2606485","-21.73670439693662","42.2372611464968","-1.993563774333662","1.00133119169784","0.8057119050685622","19.158174233427804","-5.4901823204882","18.861586750249","0.28035909173789736","22.914757103574722","-77.08524289642527"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1160404.30227762","3.934582349160815","52.0153550863724","2.655205660380222","0.856916013505151","1.0770554069636127","19.773945230772608","-1.9701126450559","30.5002147111976","3.8676889283437634","77.07454289732777","-22.925457102672233"
ICICI Bank Ltd,ICICIBANK,"Private Banks","887112.8190763199","-1.0893670978048473","35.6344510190664","-2.3850011763667855","0.928997574581902","1.0284349515590467","18.137353158732342","-8.2438581141617","30.2469479456424","1.0296806747918759","19.801980198019788","-80.19801980198021"
State Bank of India,SBIN,"Public Banks","877739.4262527401","0.041827429368913656","23.1012658227848","-6.212167041314842","1.04091213090056","1.2985795108034686","22.45204306456659","-17.986237308352802","28.4255672861187","1.9075792375627083","9.764503159103961","-90.23549684089603"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","842073.68893932","23.19965202097415","27.4287465522525","-2.156338524642354","1.07533858196437","1.089650047451242","22.16478965892411","-9.057044342524701","30.6025219498794","-0.4716421205302814","41.452552243919136","-58.547447756080864"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","574292.70542025","2.2009242138127885","47.9291716686675","-0.030512906115487404","1.32183746213752","0.7188019089321915","28.706733493499513","-5.2999857429817","24.5922849675088","30.471089015797258","33.026634382566606","-66.97336561743339"
Larsen and Toubro Ltd,LT,"Construction & Engineering","537992.3385507901","1.2669755365491602","34.0117281821317","-0.9582651922837471","1.1580838992294","0.7679289103922886","25.31168992229015","-5.1842963404211","21.2488577781871","-1.0916130524935406","21.777777777777715","-78.22222222222229"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","519095.19751365995","-1.5895491223309637","36.3754213119005","-2.1164967984578897","0.868784092375879","0.6384393408120774","20.633012113255912","-6.927692290829","30.4786921649011","-1.9162603005242231","4.946364719904752","-95.05363528009525"
Life Insurance Corporation Of India,LICI,"Insurance","506347.690953555","-0.6064835357616116","44.8970840480274","-0.04851281401743179","1.26201741485431","0.8630238714367116","24.876062456720863","-2.8731465316947","15.3899186370434","0.077293564903522","61.712846347606984","-38.287153652393016"
